"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0181332400633459,0.00114349416606934,"[ 0.016 , 0.02 ]",9332,584.965212640889,"[ 8,185 , 10,479 ]"
"Participated for illspouse leave",0.0103257648624753,0.000727343729955328,"[ 0.0089 , 0.012 ]",5314,372.095283496042,"[ 4,585 , 6,043 ]"
"Participated for illchild leave",0.00106483235691315,0.000299033096019134,"[ 0.00048 , 0.0017 ]",548,153.412026907932,"[ 247 , 849 ]"
"Participated for illparent leave",0.0112448628639716,0.000961385488963019,"[ 0.0094 , 0.013 ]",5787,495.562660013847,"[ 4,816 , 6,758 ]"
"Participated for matdis leave",0.0108814985377986,0.000861043778534461,"[ 0.0092 , 0.013 ]",5600,445.741124420891,"[ 4,726 , 6,474 ]"
"Participated for bond leave",0.000792794893468186,0.000180521306902515,"[ 0.00044 , 0.0011 ]",408,92.8584944956572,"[ 226 , 590 ]"
"Participated for  for own illness or maternal disability leave",0.0290147386011445,0.00145432211720174,"[ 0.026 , 0.032 ]",14932,747.762696314814,"[ 13,466 , 16,398 ]"
"Participated for ill relative or child bonding leave",0.0232766912471946,0.00117022948793671,"[ 0.021 , 0.026 ]",11979,596.533150797171,"[ 10,810 , 13,148 ]"
"Participated for any reason",0.0511236118802647,0.00184924119754387,"[ 0.047 , 0.055 ]",26310,945.591560876048,"[ 24,457 , 28,163 ]"
"Benefits Received ($), for own illness or maternal disability leave",181.754456695872,12.0311380149731,"[ 158 , 205 ]",93537204.8216799,6150690.90528389,"[ 81,481,851 , 105,592,559 ]"
"Benefits Received ($), for for ill relative or child bonding leave",38.8735300576626,1.99022252030539,"[ 35 , 43 ]",20005679.1412252,1009988.05868387,"[ 18,026,103 , 21,985,256 ]"
"Benefits Received ($), total",220.627986753534,12.3270287025762,"[ 196 , 245 ]",113542883.962905,6280684.19076153,"[ 101,232,743 , 125,853,025 ]"
