"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0373215968599104,0.00140545149238381,"[ 0.035 , 0.04 ]",19207,720.680407670418,"[ 17,794 , 20,620 ]"
"Participated for illspouse leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for illchild leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for illparent leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for matdis leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for bond leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for  for own illness or maternal disability leave",0.0373215968599104,0.00140545149238381,"[ 0.035 , 0.04 ]",19207,720.680407670418,"[ 17,794 , 20,620 ]"
"Participated for ill relative or child bonding leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for any reason",0.0373215968599104,0.00140545149238381,"[ 0.035 , 0.04 ]",19207,720.680407670418,"[ 17,794 , 20,620 ]"
"Benefits Received ($), for own illness or maternal disability leave",112.082164594832,7.09567923724545,"[ 98 , 126 ]",57681404.7762615,3617782.20937202,"[ 50,590,552 , 64,772,258 ]"
"Benefits Received ($), for for ill relative or child bonding leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Benefits Received ($), total",112.082164594832,7.09567923724545,"[ 98 , 126 ]",57681404.7762615,3617782.20937202,"[ 50,590,552 , 64,772,258 ]"
