"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0763570297395241,0.00201853591471474,"[ 0.072 , 0.08 ]",39296,1013.07608302634,"[ 37,310 , 41,282 ]"
"Participated for illspouse leave",0.0332118880371525,0.00123771707663172,"[ 0.031 , 0.036 ]",17092,622.550720825219,"[ 15,872 , 18,312 ]"
"Participated for illchild leave",0.0444936702711631,0.00166421534793968,"[ 0.041 , 0.048 ]",22898,847.020100115694,"[ 21,238 , 24,558 ]"
"Participated for illparent leave",0.0410115907390675,0.00150896602963915,"[ 0.038 , 0.044 ]",21106,787.388468292494,"[ 19,563 , 22,649 ]"
"Participated for matdis leave",0.0470294480554179,0.00175320885864972,"[ 0.044 , 0.05 ]",24203,945.043464608904,"[ 22,351 , 26,055 ]"
"Participated for bond leave",0.030091229706491,0.00124562418730629,"[ 0.028 , 0.033 ]",15486,644.723739286836,"[ 14,222 , 16,750 ]"
"Participated for  for own illness or maternal disability leave",0.108682852895742,0.00246529798848866,"[ 0.1 , 0.11 ]",55932,1302.93817965397,"[ 53,378 , 58,486 ]"
"Participated for ill relative or child bonding leave",0.0987923479747782,0.00247893855433648,"[ 0.094 , 0.1 ]",50842,1269.20445555474,"[ 48,354 , 53,330 ]"
"Participated for any reason",0.147327717702838,0.00269662206269269,"[ 0.14 , 0.15 ]",75820,1408.4918352621,"[ 73,059 , 78,581 ]"
"Benefits Received ($), for own illness or maternal disability leave",867.820637345137,27.02043455171,"[ 815 , 921 ]",446610873.700114,14157645.947635,"[ 418,861,888 , 474,359,860 ]"
"Benefits Received ($), for for ill relative or child bonding leave",177.912113332706,4.87572816831875,"[ 168 , 187 ]",91559800.4449771,2468589.87074761,"[ 86,721,364 , 96,398,237 ]"
"Benefits Received ($), total",1045.73275067784,30.3013239037449,"[ 986 , 1,105 ]",538170674.145092,15827695.5047759,"[ 507,148,391 , 569,192,957 ]"
