"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","    0.076"," 0.0020","[ 0.072 , 0.08 ]","     39,296","     1,013","[ 37,310 , 41,282 ]"
"Participated for illspouse leave","    0.033"," 0.0012","[ 0.031 , 0.036 ]","     17,092","       623","[ 15,872 , 18,312 ]"
"Participated for illchild leave","    0.044"," 0.0017","[ 0.041 , 0.048 ]","     22,898","       847","[ 21,238 , 24,558 ]"
"Participated for illparent leave","    0.041"," 0.0015","[ 0.038 , 0.044 ]","     21,106","       787","[ 19,563 , 22,649 ]"
"Participated for matdis leave","    0.047"," 0.0018","[ 0.044 , 0.05 ]","     24,203","       945","[ 22,351 , 26,055 ]"
"Participated for bond leave","    0.030"," 0.0012","[ 0.028 , 0.033 ]","     15,486","       645","[ 14,222 , 16,750 ]"
"Participated for  for own illness or maternal disability leave","    0.109"," 0.0025","[ 0.1 , 0.11 ]","     55,932","     1,303","[ 53,378 , 58,486 ]"
"Participated for ill relative or child bonding leave","    0.099"," 0.0025","[ 0.094 , 0.1 ]","     50,842","     1,269","[ 48,354 , 53,330 ]"
"Participated for any reason","    0.147"," 0.0027","[ 0.14 , 0.15 ]","     75,820","     1,408","[ 73,059 , 78,581 ]"
"Benefits Received ($), for own illness or maternal disability leave","  867.821","27.0204","[ 815 , 921 ]","446,610,874","14,157,646","[ 418,861,888 , 474,359,860 ]"
"Benefits Received ($), for for ill relative or child bonding leave","  177.912"," 4.8757","[ 168 , 187 ]"," 91,559,800"," 2,468,590","[ 86,721,364 , 96,398,237 ]"
"Benefits Received ($), total","1,045.733","30.3013","[ 986 , 1,105 ]","538,170,674","15,827,696","[ 507,148,391 , 569,192,957 ]"
