"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0212699717905514,0.00132080448844451,"[ 0.019 , 0.024 ]",8950,561.881927098568,"[ 7,849 , 10,051 ]"
"Participated for illspouse leave",0.00993153207963287,0.000739707860677532,"[ 0.0085 , 0.011 ]",4179,309.589324751355,"[ 3,572 , 4,786 ]"
"Participated for illchild leave",0.00128332790691595,0.000380222544424638,"[ 0.00054 , 0.002 ]",540,159.122122911932,"[ 228 , 852 ]"
"Participated for illparent leave",0.0111055394611449,0.00106094387667866,"[ 0.009 , 0.013 ]",4673,451.266717141869,"[ 3,789 , 5,557 ]"
"Participated for matdis leave",0.0254265282890625,0.00123778132611485,"[ 0.023 , 0.028 ]",10699,534.713848707886,"[ 9,651 , 11,747 ]"
"Participated for bond leave",0.00173011614117558,0.000330437010737468,"[ 0.0011 , 0.0024 ]",728,139.236848571059,"[ 455 , 1,001 ]"
"Participated for  for own illness or maternal disability leave",0.0466965000796139,0.0017831328659624,"[ 0.043 , 0.05 ]",19649,777.547619120527,"[ 18,125 , 21,173 ]"
"Participated for ill relative or child bonding leave",0.0239293123976605,0.00139503368924017,"[ 0.021 , 0.027 ]",10069,589.022070893782,"[ 8,915 , 11,223 ]"
"Participated for any reason",0.0693353549708756,0.00239011765794663,"[ 0.065 , 0.074 ]",29175,1049.50483562488,"[ 27,118 , 31,232 ]"
"Benefits Received ($), for own illness or maternal disability leave",195.360230362729,9.6204313949901,"[ 177 , 214 ]",82203873.0922595,4113793.09247017,"[ 74,140,839 , 90,266,908 ]"
"Benefits Received ($), for for ill relative or child bonding leave",22.4321071420914,1.39477534381767,"[ 20 , 25 ]",9439004.47535637,588316.771138976,"[ 8,285,904 , 10,592,105 ]"
"Benefits Received ($), total",217.79233750482,9.8441949272317,"[ 198 , 237 ]",91642877.5676159,4216317.12537877,"[ 83,378,896 , 99,906,859 ]"
