"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.0213","0.00132","[ 0.019 , 0.024 ]","     8,950","      562","[ 7,849 , 10,051 ]"
"Participated for illspouse leave","  0.0099","0.00074","[ 0.0085 , 0.011 ]","     4,179","      310","[ 3,572 , 4,786 ]"
"Participated for illchild leave","  0.0013","0.00038","[ 0.00054 , 0.002 ]","       540","      159","[ 228 , 852 ]"
"Participated for illparent leave","  0.0111","0.00106","[ 0.009 , 0.013 ]","     4,673","      451","[ 3,789 , 5,557 ]"
"Participated for matdis leave","  0.0254","0.00124","[ 0.023 , 0.028 ]","    10,699","      535","[ 9,651 , 11,747 ]"
"Participated for bond leave","  0.0017","0.00033","[ 0.0011 , 0.0024 ]","       728","      139","[ 455 , 1,001 ]"
"Participated for  for own illness or maternal disability leave","  0.0467","0.00178","[ 0.043 , 0.05 ]","    19,649","      778","[ 18,125 , 21,173 ]"
"Participated for ill relative or child bonding leave","  0.0239","0.00140","[ 0.021 , 0.027 ]","    10,069","      589","[ 8,915 , 11,223 ]"
"Participated for any reason","  0.0693","0.00239","[ 0.065 , 0.074 ]","    29,175","    1,050","[ 27,118 , 31,232 ]"
"Benefits Received ($), for own illness or maternal disability leave","195.3602","9.62043","[ 177 , 214 ]","82,203,873","4,113,793","[ 74,140,839 , 90,266,908 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 22.4321","1.39478","[ 20 , 25 ]"," 9,439,004","  588,317","[ 8,285,904 , 10,592,105 ]"
"Benefits Received ($), total","217.7923","9.84419","[ 198 , 237 ]","91,642,878","4,216,317","[ 83,378,896 , 99,906,859 ]"
