"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0505727152577219,0.00190054224992302,"[ 0.047 , 0.054 ]",20663,796.552101246365,"[ 19,102 , 22,224 ]"
"Participated for illspouse leave",0.0085295413382936,0.000692942816691468,"[ 0.0072 , 0.0099 ]",3485,284.183039606518,"[ 2,928 , 4,042 ]"
"Participated for illchild leave",0.00774878848695482,0.00068965592373818,"[ 0.0064 , 0.0091 ]",3166,283.937757263806,"[ 2,609 , 3,723 ]"
"Participated for illparent leave",0.029122815605267,0.00143373704302165,"[ 0.026 , 0.032 ]",11899,592.651204335231,"[ 10,737 , 13,061 ]"
"Participated for matdis leave",0.0074012433305595,0.000796944448166371,"[ 0.0058 , 0.009 ]",3024,325.465282326702,"[ 2,386 , 3,662 ]"
"Participated for bond leave",0.000695090312790641,0.000248633596520091,"[ 0.00021 , 0.0012 ]",284,101.990685849248,"[ 84 , 484 ]"
"Participated for  for own illness or maternal disability leave",0.05731313329091,0.00196344546491374,"[ 0.053 , 0.061 ]",23417,824.14667990595,"[ 21,802 , 25,032 ]"
"Participated for ill relative or child bonding leave",0.040092515541632,0.0016237619125473,"[ 0.037 , 0.043 ]",16381,675.812326019584,"[ 15,056 , 17,706 ]"
"Participated for any reason",0.0941798423809291,0.00239622580359485,"[ 0.089 , 0.099 ]",38480,1023.73043326845,"[ 36,473 , 40,487 ]"
"Benefits Received ($), for own illness or maternal disability leave",339.69509136602,16.0136330232962,"[ 308 , 371 ]",138792620.430329,6619781.35028942,"[ 125,817,849 , 151,767,392 ]"
"Benefits Received ($), for for ill relative or child bonding leave",70.1319079598157,3.10330468328805,"[ 64 , 76 ]",28654494.9542215,1288817.95233262,"[ 26,128,412 , 31,180,578 ]"
"Benefits Received ($), total",409.826999325836,15.8556774865037,"[ 379 , 441 ]",167447115.38455,6594783.42623013,"[ 154,521,340 , 180,372,891 ]"
