"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.0506"," 0.00190","[ 0.047 , 0.054 ]","     20,663","      797","[ 19,102 , 22,224 ]"
"Participated for illspouse leave","  0.0085"," 0.00069","[ 0.0072 , 0.0099 ]","      3,485","      284","[ 2,928 , 4,042 ]"
"Participated for illchild leave","  0.0077"," 0.00069","[ 0.0064 , 0.0091 ]","      3,166","      284","[ 2,609 , 3,723 ]"
"Participated for illparent leave","  0.0291"," 0.00143","[ 0.026 , 0.032 ]","     11,899","      593","[ 10,737 , 13,061 ]"
"Participated for matdis leave","  0.0074"," 0.00080","[ 0.0058 , 0.009 ]","      3,024","      325","[ 2,386 , 3,662 ]"
"Participated for bond leave","  0.0007"," 0.00025","[ 0.00021 , 0.0012 ]","        284","      102","[ 84 , 484 ]"
"Participated for  for own illness or maternal disability leave","  0.0573"," 0.00196","[ 0.053 , 0.061 ]","     23,417","      824","[ 21,802 , 25,032 ]"
"Participated for ill relative or child bonding leave","  0.0401"," 0.00162","[ 0.037 , 0.043 ]","     16,381","      676","[ 15,056 , 17,706 ]"
"Participated for any reason","  0.0942"," 0.00240","[ 0.089 , 0.099 ]","     38,480","    1,024","[ 36,473 , 40,487 ]"
"Benefits Received ($), for own illness or maternal disability leave","339.6951","16.01363","[ 308 , 371 ]","138,792,620","6,619,781","[ 125,817,849 , 151,767,392 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 70.1319"," 3.10330","[ 64 , 76 ]"," 28,654,495","1,288,818","[ 26,128,412 , 31,180,578 ]"
"Benefits Received ($), total","409.8270","15.85568","[ 379 , 441 ]","167,447,115","6,594,783","[ 154,521,340 , 180,372,891 ]"
