"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.046304273336923,0.00185848006651297,"[ 0.043 , 0.05 ]",18919,756.738627268359,"[ 17,436 , 20,402 ]"
"Participated for illspouse leave",0.00800577610259925,0.000715725997408761,"[ 0.0066 , 0.0094 ]",3271,295.057367303377,"[ 2,693 , 3,849 ]"
"Participated for illchild leave",0.00697048313671741,0.00068403107572163,"[ 0.0056 , 0.0083 ]",2848,279.242815485018,"[ 2,301 , 3,395 ]"
"Participated for illparent leave",0.0254833814675217,0.00130310875243985,"[ 0.023 , 0.028 ]",10412,535.812607167842,"[ 9,362 , 11,462 ]"
"Participated for matdis leave",0.00838269127221107,0.000884542111590583,"[ 0.0066 , 0.01 ]",3425,362.733097469751,"[ 2,714 , 4,136 ]"
"Participated for bond leave",0.000770962846933281,0.000260989602440311,"[ 0.00026 , 0.0013 ]",315,106.99579430987,"[ 105 , 525 ]"
"Participated for  for own illness or maternal disability leave",0.053656566645455,0.0018620514273152,"[ 0.05 , 0.057 ]",21923,760.682555340925,"[ 20,432 , 23,414 ]"
"Participated for ill relative or child bonding leave",0.0377110969699936,0.00153309163560207,"[ 0.035 , 0.041 ]",15408,637.825877493223,"[ 14,158 , 16,658 ]"
"Participated for any reason",0.0888442899799305,0.00225670166215915,"[ 0.084 , 0.093 ]",36300,937.517173176044,"[ 34,462 , 38,138 ]"
"Benefits Received ($), for own illness or maternal disability leave",169.659130002943,9.38823372863257,"[ 151 , 188 ]",69319327.3366023,3882243.21704915,"[ 61,710,131 , 76,928,524 ]"
"Benefits Received ($), for for ill relative or child bonding leave",42.0320361066567,1.96834709607332,"[ 38 , 46 ]",17173449.3124578,822493.31058306,"[ 15,561,362 , 18,785,536 ]"
"Benefits Received ($), total",211.691166109599,9.471725865177,"[ 193 , 230 ]",86492776.6490602,3945682.78726464,"[ 78,759,238 , 94,226,315 ]"
