"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.04630","0.00186","[ 0.043 , 0.05 ]","    18,919","      757","[ 17,436 , 20,402 ]"
"Participated for illspouse leave","  0.00801","0.00072","[ 0.0066 , 0.0094 ]","     3,271","      295","[ 2,693 , 3,849 ]"
"Participated for illchild leave","  0.00697","0.00068","[ 0.0056 , 0.0083 ]","     2,848","      279","[ 2,301 , 3,395 ]"
"Participated for illparent leave","  0.02548","0.00130","[ 0.023 , 0.028 ]","    10,412","      536","[ 9,362 , 11,462 ]"
"Participated for matdis leave","  0.00838","0.00088","[ 0.0066 , 0.01 ]","     3,425","      363","[ 2,714 , 4,136 ]"
"Participated for bond leave","  0.00077","0.00026","[ 0.00026 , 0.0013 ]","       315","      107","[ 105 , 525 ]"
"Participated for  for own illness or maternal disability leave","  0.05366","0.00186","[ 0.05 , 0.057 ]","    21,923","      761","[ 20,432 , 23,414 ]"
"Participated for ill relative or child bonding leave","  0.03771","0.00153","[ 0.035 , 0.041 ]","    15,408","      638","[ 14,158 , 16,658 ]"
"Participated for any reason","  0.08884","0.00226","[ 0.084 , 0.093 ]","    36,300","      938","[ 34,462 , 38,138 ]"
"Benefits Received ($), for own illness or maternal disability leave","169.65913","9.38823","[ 151 , 188 ]","69,319,327","3,882,243","[ 61,710,131 , 76,928,524 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 42.03204","1.96835","[ 38 , 46 ]","17,173,449","  822,493","[ 15,561,362 , 18,785,536 ]"
"Benefits Received ($), total","211.69117","9.47173","[ 193 , 230 ]","86,492,777","3,945,683","[ 78,759,238 , 94,226,315 ]"
