"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0472269812521416,0.00184112313380629,"[ 0.044 , 0.051 ]",19296,763.931279631879,"[ 17,799 , 20,793 ]"
"Participated for illspouse leave",0.00781731851779333,0.000607049391417772,"[ 0.0066 , 0.009 ]",3194,249.643646023687,"[ 2,705 , 3,683 ]"
"Participated for illchild leave",0.00791277106074698,0.000802764399330046,"[ 0.0063 , 0.0095 ]",3233,327.890759247649,"[ 2,590 , 3,876 ]"
"Participated for illparent leave",0.0233491605071222,0.00135733568305182,"[ 0.021 , 0.026 ]",9540,560.442860602221,"[ 8,442 , 10,638 ]"
"Participated for matdis leave",0.00739879582945812,0.000858416909432144,"[ 0.0057 , 0.0091 ]",3023,350.4149682876,"[ 2,336 , 3,710 ]"
"Participated for bond leave",0.000386705174017328,0.000141614217160348,"[ 0.00011 , 0.00066 ]",158,57.9068217052188,"[ 45 , 271 ]"
"Participated for  for own illness or maternal disability leave",0.0537642566939155,0.00199680643224883,"[ 0.05 , 0.058 ]",21967,826.719299399742,"[ 20,347 , 23,587 ]"
"Participated for ill relative or child bonding leave",0.0356282735327231,0.00157694468352507,"[ 0.033 , 0.039 ]",14557,652.568042429293,"[ 13,278 , 15,836 ]"
"Participated for any reason",0.0870306916638112,0.00233847804093515,"[ 0.082 , 0.092 ]",35559,978.643270042767,"[ 33,641 , 37,477 ]"
"Benefits Received ($), for own illness or maternal disability leave",176.606517862415,9.06876689532562,"[ 159 , 194 ]",72157891.0682253,3631764.99346927,"[ 65,039,632 , 79,276,150 ]"
"Benefits Received ($), for for ill relative or child bonding leave",40.3542467087589,2.02986683342032,"[ 36 , 44 ]",16487938.1202647,845015.880788135,"[ 14,831,707 , 18,144,169 ]"
"Benefits Received ($), total",216.960764571173,8.95768400455466,"[ 199 , 235 ]",88645829.18849,3587244.47991665,"[ 81,614,830 , 95,676,828 ]"
