"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.04723","0.00184","[ 0.044 , 0.051 ]","    19,296","      764","[ 17,799 , 20,793 ]"
"Participated for illspouse leave","  0.00782","0.00061","[ 0.0066 , 0.009 ]","     3,194","      250","[ 2,705 , 3,683 ]"
"Participated for illchild leave","  0.00791","0.00080","[ 0.0063 , 0.0095 ]","     3,233","      328","[ 2,590 , 3,876 ]"
"Participated for illparent leave","  0.02335","0.00136","[ 0.021 , 0.026 ]","     9,540","      560","[ 8,442 , 10,638 ]"
"Participated for matdis leave","  0.00740","0.00086","[ 0.0057 , 0.0091 ]","     3,023","      350","[ 2,336 , 3,710 ]"
"Participated for bond leave","  0.00039","0.00014","[ 0.00011 , 0.00066 ]","       158","       58","[ 45 , 271 ]"
"Participated for  for own illness or maternal disability leave","  0.05376","0.00200","[ 0.05 , 0.058 ]","    21,967","      827","[ 20,347 , 23,587 ]"
"Participated for ill relative or child bonding leave","  0.03563","0.00158","[ 0.033 , 0.039 ]","    14,557","      653","[ 13,278 , 15,836 ]"
"Participated for any reason","  0.08703","0.00234","[ 0.082 , 0.092 ]","    35,559","      979","[ 33,641 , 37,477 ]"
"Benefits Received ($), for own illness or maternal disability leave","176.60652","9.06877","[ 159 , 194 ]","72,157,891","3,631,765","[ 65,039,632 , 79,276,150 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 40.35425","2.02987","[ 36 , 44 ]","16,487,938","  845,016","[ 14,831,707 , 18,144,169 ]"
"Benefits Received ($), total","216.96076","8.95768","[ 199 , 235 ]","88,645,829","3,587,244","[ 81,614,830 , 95,676,828 ]"
