"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0231421943737592,0.00138618878596532,"[ 0.02 , 0.026 ]",7612,449.394203344903,"[ 6,731 , 8,493 ]"
"Participated for illspouse leave",0.00126473369147186,0.000241659332793631,"[ 0.00079 , 0.0017 ]",416,79.2278360173999,"[ 261 , 571 ]"
"Participated for illchild leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for illparent leave",0.00184237648324988,0.000481333616431273,"[ 0.0009 , 0.0028 ]",606,158.351191975305,"[ 296 , 916 ]"
"Participated for matdis leave",0.0217406505473926,0.00124570770710933,"[ 0.019 , 0.024 ]",7151,416.696472267285,"[ 6,334 , 7,968 ]"
"Participated for bond leave",0.00575210611602107,0.000808444749549509,"[ 0.0042 , 0.0073 ]",1892,264.095058643663,"[ 1,374 , 2,410 ]"
"Participated for  for own illness or maternal disability leave",0.0448828449211518,0.00189202055670641,"[ 0.041 , 0.049 ]",14763,622.7660877087,"[ 13,542 , 15,984 ]"
"Participated for ill relative or child bonding leave",0.00885921629074282,0.000994973850096675,"[ 0.0069 , 0.011 ]",2914,324.637259106222,"[ 2,278 , 3,550 ]"
"Participated for any reason",0.0535353258969424,0.00215057084446641,"[ 0.049 , 0.058 ]",17609,701.106589613876,"[ 16,235 , 18,983 ]"
"Benefits Received ($), for own illness or maternal disability leave",227.501937324121,10.7479996268169,"[ 206 , 249 ]",74830619.7304618,3576234.52909158,"[ 67,821,200 , 81,840,039 ]"
"Benefits Received ($), for for ill relative or child bonding leave",11.0460348942465,1.46710352187331,"[ 8.2 , 14 ]",3633294.93552023,477943.529058727,"[ 2,696,526 , 4,570,064 ]"
"Benefits Received ($), total",238.547972218367,10.8611798979838,"[ 217 , 260 ]",78463914.665982,3602851.74752602,"[ 71,402,325 , 85,525,504 ]"
