"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0156285522749133,0.000896328659247506,"[ 0.014 , 0.017 ]",8043,455.539734820136,"[ 7,150 , 8,936 ]"
"Participated for illspouse leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for illchild leave",0.000120473733811342,7.88111190042434e-05,"[ -0.000034 , 0.00027 ]",62,40.6048026716052,"[ -18 , 142 ]"
"Participated for illparent leave",0.00025260621605604,0.000134816759653242,"[ -0.000012 , 0.00052 ]",130,69.4431422100124,"[ -6.1 , 266 ]"
"Participated for matdis leave",0.0123621595888348,0.000912996535921731,"[ 0.011 , 0.014 ]",6362,470.966506240094,"[ 5,439 , 7,285 ]"
"Participated for bond leave",7.38387400779193e-05,6.31208275308556e-05,"[ -0.00005 , 0.0002 ]",38,32.4353202543154,"[ -26 , 102 ]"
"Participated for  for own illness or maternal disability leave",0.027938247495798,0.00128995324594486,"[ 0.025 , 0.03 ]",14378,658.283183743896,"[ 13,088 , 15,668 ]"
"Participated for ill relative or child bonding leave",0.000446918689945301,0.000160587497457307,"[ 0.00013 , 0.00076 ]",230,82.6779898159117,"[ 68 , 392 ]"
"Participated for any reason",0.0283851661857433,0.00130574645778087,"[ 0.026 , 0.031 ]",14608,666.60505548638,"[ 13,301 , 15,915 ]"
"Benefits Received ($), for own illness or maternal disability leave",182.536572359104,11.1033476034119,"[ 161 , 204 ]",93939708.9160276,5642065.99898218,"[ 82,881,260 , 104,998,158 ]"
"Benefits Received ($), for for ill relative or child bonding leave",0.629214316358189,0.265373962057979,"[ 0.11 , 1.1 ]",323815.709698997,136557.39145149,"[ 56,163 , 591,468 ]"
"Benefits Received ($), total",183.165786675462,11.099022450029,"[ 161 , 205 ]",94263524.6257266,5639628.94122362,"[ 83,209,852 , 105,317,197 ]"
