"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.015629"," 0.000896","[ 0.014 , 0.017 ]","     8,043","      456","[ 7,150 , 8,936 ]"
"Participated for illspouse leave","  0.000000"," 0.000000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for illchild leave","  0.000120"," 0.000079","[ -0.000034 , 0.00027 ]","        62","       41","[ -18 , 142 ]"
"Participated for illparent leave","  0.000253"," 0.000135","[ -0.000012 , 0.00052 ]","       130","       69","[ -6.1 , 266 ]"
"Participated for matdis leave","  0.012362"," 0.000913","[ 0.011 , 0.014 ]","     6,362","      471","[ 5,439 , 7,285 ]"
"Participated for bond leave","  0.000074"," 0.000063","[ -0.00005 , 0.0002 ]","        38","       32","[ -26 , 102 ]"
"Participated for  for own illness or maternal disability leave","  0.027938"," 0.001290","[ 0.025 , 0.03 ]","    14,378","      658","[ 13,088 , 15,668 ]"
"Participated for ill relative or child bonding leave","  0.000447"," 0.000161","[ 0.00013 , 0.00076 ]","       230","       83","[ 68 , 392 ]"
"Participated for any reason","  0.028385"," 0.001306","[ 0.026 , 0.031 ]","    14,608","      667","[ 13,301 , 15,915 ]"
"Benefits Received ($), for own illness or maternal disability leave","182.536572","11.103348","[ 161 , 204 ]","93,939,709","5,642,066","[ 82,881,260 , 104,998,158 ]"
"Benefits Received ($), for for ill relative or child bonding leave","  0.629214"," 0.265374","[ 0.11 , 1.1 ]","   323,816","  136,557","[ 56,163 , 591,468 ]"
"Benefits Received ($), total","183.165787","11.099022","[ 161 , 205 ]","94,263,525","5,639,629","[ 83,209,852 , 105,317,197 ]"
