"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0159748396886779,0.00100765878029271,"[ 0.014 , 0.018 ]",6527,411.823384474461,"[ 5,720 , 7,334 ]"
"Participated for illspouse leave",0.000893337902002056,0.000218733862017576,"[ 0.00046 , 0.0013 ]",365,89.9313627162404,"[ 189 , 541 ]"
"Participated for illchild leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for illparent leave",0.00194331587449214,0.000511519940829936,"[ 0.00094 , 0.0029 ]",794,209.024280886217,"[ 384 , 1,204 ]"
"Participated for matdis leave",0.0176685104508297,0.000920602671923283,"[ 0.016 , 0.019 ]",7219,378.696448359369,"[ 6,477 , 7,961 ]"
"Participated for bond leave",0.00525233736355181,0.000608360082379653,"[ 0.0041 , 0.0064 ]",2146,250.190327550847,"[ 1,656 , 2,636 ]"
"Participated for  for own illness or maternal disability leave",0.0336433501395076,0.00129029209640583,"[ 0.031 , 0.036 ]",13746,531.25295293297,"[ 12,705 , 14,787 ]"
"Participated for ill relative or child bonding leave",0.00808899114004601,0.000831436613308909,"[ 0.0065 , 0.0097 ]",3305,343.069380738066,"[ 2,633 , 3,977 ]"
"Participated for any reason",0.0416148612266876,0.00155740445605702,"[ 0.039 , 0.045 ]",17003,650.66235483544,"[ 15,728 , 18,278 ]"
"Benefits Received ($), for own illness or maternal disability leave",286.977005509008,13.455083161913,"[ 261 , 313 ]",117253064.910871,5548890.07951939,"[ 106,377,240 , 128,128,889 ]"
"Benefits Received ($), for for ill relative or child bonding leave",11.6553062721577,1.34992234277153,"[ 9 , 14 ]",4762125.03667821,556280.224195095,"[ 3,671,816 , 5,852,434 ]"
"Benefits Received ($), total",298.632311781166,13.6300377815136,"[ 272 , 325 ]",122015189.947549,5634365.86357547,"[ 110,971,833 , 133,058,547 ]"
