"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.01597"," 0.00101","[ 0.014 , 0.018 ]","      6,527","      412","[ 5,720 , 7,334 ]"
"Participated for illspouse leave","  0.00089"," 0.00022","[ 0.00046 , 0.0013 ]","        365","       90","[ 189 , 541 ]"
"Participated for illchild leave","  0.00000"," 0.00000","[ 0 , 0 ]","          0","        0","[ 0 , 0 ]"
"Participated for illparent leave","  0.00194"," 0.00051","[ 0.00094 , 0.0029 ]","        794","      209","[ 384 , 1,204 ]"
"Participated for matdis leave","  0.01767"," 0.00092","[ 0.016 , 0.019 ]","      7,219","      379","[ 6,477 , 7,961 ]"
"Participated for bond leave","  0.00525"," 0.00061","[ 0.0041 , 0.0064 ]","      2,146","      250","[ 1,656 , 2,636 ]"
"Participated for  for own illness or maternal disability leave","  0.03364"," 0.00129","[ 0.031 , 0.036 ]","     13,746","      531","[ 12,705 , 14,787 ]"
"Participated for ill relative or child bonding leave","  0.00809"," 0.00083","[ 0.0065 , 0.0097 ]","      3,305","      343","[ 2,633 , 3,977 ]"
"Participated for any reason","  0.04161"," 0.00156","[ 0.039 , 0.045 ]","     17,003","      651","[ 15,728 , 18,278 ]"
"Benefits Received ($), for own illness or maternal disability leave","286.97701","13.45508","[ 261 , 313 ]","117,253,065","5,548,890","[ 106,377,240 , 128,128,889 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 11.65531"," 1.34992","[ 9 , 14 ]","  4,762,125","  556,280","[ 3,671,816 , 5,852,434 ]"
"Benefits Received ($), total","298.63231","13.63004","[ 272 , 325 ]","122,015,190","5,634,366","[ 110,971,833 , 133,058,547 ]"
