"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.362369670566352,0.0043104891463386,"[ 0.35 , 0.37 ]",148057,1955.77231548051,"[ 144,224  151,890 ]"
"Participated for illspouse leave",0.00105487297469284,0.000275654922994967,"[ 0.00051 , 0.0016 ]",431,113.036498530342,"[ 209  653 ]"
"Participated for illchild leave",0.0859953986979294,0.0020052087391929,"[ 0.082 , 0.09 ]",35136,819.426720335626,"[ 33,530  36,742 ]"
"Participated for illparent leave",0.290136570561457,0.00382554598990693,"[ 0.28 , 0.3 ]",118544,1699.2903371702,"[ 115,213  121,875 ]"
"Participated for matdis leave",0.0618654853394684,0.00195714430183986,"[ 0.058 , 0.066 ]",25277,803.513876669221,"[ 23,702  26,852 ]"
"Participated for bond leave",0.0139556512800431,0.00104068303177891,"[ 0.012 , 0.016 ]",5702,427.42104534054,"[ 4,864  6,540 ]"
"Participated for  for own illness or maternal disability leave",0.36911008859954,0.00436490713010741,"[ 0.36 , 0.38 ]",150811,1978.47255477553,"[ 146,933  154,689 ]"
"Participated for ill relative or child bonding leave",0.317560820402369,0.00392135102369881,"[ 0.31 , 0.33 ]",129749,1774.76670297817,"[ 126,270  133,228 ]"
"Participated for any reason",0.414988496744824,0.00416103261000276,"[ 0.41 , 0.42 ]",169556,2009.74305571633,"[ 165,617  173,495 ]"
"Benefits Received ($), for own illness or maternal disability leave",2481.06448246561,42.7608914905871,"[ 2,397 , 2,565 ]",1013713326.2458,18020037.5427621,"[ 978,394,053  1,049,032,600 ]"
"Benefits Received ($), for for ill relative or child bonding leave",456.608526436688,6.71140427198208,"[ 443 , 470 ]",186561111.731502,2904807.82626603,"[ 180,867,688  192,254,535 ]"
"Benefits Received ($), total",2937.67300890229,47.1162783552287,"[ 2,845 , 3,030 ]",1200274437.9773,19989647.8481302,"[ 1,161,094,728  1,239,454,148 ]"
