"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","    0.2686"," 0.00339","[ 0.26 , 0.28 ]","      138,242","     1,900","[ 134,517 , 141,967 ]"
"Participated for illspouse leave","    0.0035"," 0.00044","[ 0.0026 , 0.0044 ]","        1,801","       226","[ 1,357 , 2,245 ]"
"Participated for illchild leave","    0.0022"," 0.00037","[ 0.0015 , 0.0029 ]","        1,132","       190","[ 761 , 1,503 ]"
"Participated for illparent leave","    0.2827"," 0.00330","[ 0.28 , 0.29 ]","      145,475","     1,829","[ 141,890 , 149,060 ]"
"Participated for matdis leave","    0.0909"," 0.00230","[ 0.086 , 0.095 ]","       46,780","     1,206","[ 44,417 , 49,143 ]"
"Participated for bond leave","    0.0095"," 0.00080","[ 0.0079 , 0.011 ]","        4,886","       411","[ 4,081 , 5,691 ]"
"Participated for  for own illness or maternal disability leave","    0.2792"," 0.00328","[ 0.27 , 0.29 ]","      143,666","     1,849","[ 140,042 , 147,290 ]"
"Participated for ill relative or child bonding leave","    0.2853"," 0.00328","[ 0.28 , 0.29 ]","      146,833","     1,823","[ 143,261 , 150,405 ]"
"Participated for any reason","    0.2964"," 0.00323","[ 0.29 , 0.3 ]","      152,530","     1,810","[ 148,982 , 156,078 ]"
"Benefits Received ($), for own illness or maternal disability leave","1,630.0588","26.25255","[ 1,579 , 1,682 ]","  838,885,310","13,897,828","[ 811,645,566 , 866,125,054 ]"
"Benefits Received ($), for for ill relative or child bonding leave","  379.0419"," 5.04026","[ 369 , 389 ]","  195,068,220"," 2,614,904","[ 189,943,009 , 200,193,432 ]"
"Benefits Received ($), total","2,009.1007","30.59787","[ 1,949 , 2,069 ]","1,033,953,530","16,174,257","[ 1,002,251,986 , 1,065,655,075 ]"
