"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.334363969682874,0.00438931358296738,"[ 0.33 , 0.34 ]",109980,1701.80150135085,"[ 106,644 , 113,316 ]"
"Participated for illspouse leave",0.00559097417936721,0.000646047563380149,"[ 0.0043 , 0.0069 ]",1839,210.052969510074,"[ 1,427 , 2,251 ]"
"Participated for illchild leave",0.0921066632616144,0.00224085998115191,"[ 0.088 , 0.096 ]",30296,753.38104568671,"[ 28,819 , 31,773 ]"
"Participated for illparent leave",0.402677830373674,0.00433213596937108,"[ 0.39 , 0.41 ]",132450,1746.17131175609,"[ 129,028 , 135,872 ]"
"Participated for matdis leave",0.108143851296504,0.00285951814655204,"[ 0.1 , 0.11 ]",35571,1024.7628750106,"[ 33,562 , 37,580 ]"
"Participated for bond leave",0.0164415379891342,0.00130850443297882,"[ 0.014 , 0.019 ]",5408,431.213984003302,"[ 4,563 , 6,253 ]"
"Participated for  for own illness or maternal disability leave",0.347476461056235,0.00441387052806092,"[ 0.34 , 0.36 ]",114293,1713.02380310374,"[ 110,935 , 117,651 ]"
"Participated for ill relative or child bonding leave",0.404045931722622,0.00432775517566884,"[ 0.4 , 0.41 ]",132900,1750.78336752438,"[ 129,468 , 136,332 ]"
"Participated for any reason",0.412646728869675,0.00420679733407309,"[ 0.4 , 0.42 ]",135729,1721.32023458739,"[ 132,355 , 139,103 ]"
"Benefits Received ($), for own illness or maternal disability leave",1978.7629786474,34.1576900554326,"[ 1,912 , 2,046 ]",650860655.225638,12654340.8323595,"[ 626,058,147 , 675,663,163 ]"
"Benefits Received ($), for for ill relative or child bonding leave",592.481952706123,7.50578125675452,"[ 578 , 607 ]",194880941.329956,2693942.60057672,"[ 189,600,814 , 200,161,069 ]"
"Benefits Received ($), total",2571.24493135352,39.9289373024189,"[ 2,493 , 2,650 ]",845741596.555594,14885164.2110799,"[ 816,566,675 , 874,916,518 ]"
