"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0114877184621919,0.00167862696191859,"[ 0.0082 , 0.015 ]",8871,567.383688521269,"[ 7,759 , 9,983 ]"
"Participated for illspouse leave",0.000420866700508666,0.000159530884934434,"[ 0.00011 , 0.00073 ]",325,135.640333234625,"[ 59 , 591 ]"
"Participated for illchild leave",1.68346680203466e-05,1.6881512271718e-05,"[ -0.000016 , 0.00005 ]",13,12.6095202129185,"[ -12 , 38 ]"
"Participated for illparent leave",1.68346680203466e-05,1.6881512271718e-05,"[ -0.000016 , 0.00005 ]",13,12.6095202129185,"[ -12 , 38 ]"
"Participated for matdis leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for bond leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for  for own illness or maternal disability leave",0.0114877184621919,0.00167862696191859,"[ 0.0082 , 0.015 ]",8871,567.383688521269,"[ 7,759 , 9,983 ]"
"Participated for ill relative or child bonding leave",0.000420866700508666,0.000159530884934434,"[ 0.00011 , 0.00073 ]",325,135.640333234625,"[ 59 , 591 ]"
"Participated for any reason",0.0115343375428637,0.00168928819824163,"[ 0.0082 , 0.015 ]",8907,571.807659969679,"[ 7,786 , 10,028 ]"
"Benefits Received ($), for own illness or maternal disability leave",38.3479508149396,6.10997981896575,"[ 26 , 50 ]",29612901.1865094,2740474.61265792,"[ 24,241,571 , 34,984,231 ]"
"Benefits Received ($), for for ill relative or child bonding leave",0.901994240750496,0.450415821474746,"[ 0.019 , 1.8 ]",696534.384615385,381266.336431043,"[ -50,748 , 1,443,816 ]"
"Benefits Received ($), total",39.2499450556901,6.06569838435273,"[ 27 , 51 ]",30309435.5711248,2821633.42523293,"[ 24,779,034 , 35,839,837 ]"
