"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave"," 0.011488","0.001679","[ 0.0082 , 0.015 ]","     8,871","      567","[ 7,759 , 9,983 ]"
"Participated for illspouse leave"," 0.000421","0.000160","[ 0.00011 , 0.00073 ]","       325","      136","[ 59 , 591 ]"
"Participated for illchild leave"," 0.000017","0.000017","[ -0.000016 , 0.00005 ]","        13","       13","[ -12 , 38 ]"
"Participated for illparent leave"," 0.000017","0.000017","[ -0.000016 , 0.00005 ]","        13","       13","[ -12 , 38 ]"
"Participated for matdis leave"," 0.000000","0.000000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for bond leave"," 0.000000","0.000000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for  for own illness or maternal disability leave"," 0.011488","0.001679","[ 0.0082 , 0.015 ]","     8,871","      567","[ 7,759 , 9,983 ]"
"Participated for ill relative or child bonding leave"," 0.000421","0.000160","[ 0.00011 , 0.00073 ]","       325","      136","[ 59 , 591 ]"
"Participated for any reason"," 0.011534","0.001689","[ 0.0082 , 0.015 ]","     8,907","      572","[ 7,786 , 10,028 ]"
"Benefits Received ($), for own illness or maternal disability leave","38.347951","6.109980","[ 26 , 50 ]","29,612,901","2,740,475","[ 24,241,571 , 34,984,231 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 0.901994","0.450416","[ 0.019 , 1.8 ]","   696,534","  381,266","[ -50,748 , 1,443,816 ]"
"Benefits Received ($), total","39.249945","6.065698","[ 27 , 51 ]","30,309,436","2,821,633","[ 24,779,034 , 35,839,837 ]"
