"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","    0.3344"," 0.00439","[ 0.33 , 0.34 ]","    109,980","     1,702","[ 106,644 , 113,316 ]"
"Participated for illspouse leave","    0.0056"," 0.00065","[ 0.0043 , 0.0069 ]","      1,839","       210","[ 1,427 , 2,251 ]"
"Participated for illchild leave","    0.0921"," 0.00224","[ 0.088 , 0.096 ]","     30,296","       753","[ 28,819 , 31,773 ]"
"Participated for illparent leave","    0.4027"," 0.00433","[ 0.39 , 0.41 ]","    132,450","     1,746","[ 129,028 , 135,872 ]"
"Participated for matdis leave","    0.1081"," 0.00286","[ 0.1 , 0.11 ]","     35,571","     1,025","[ 33,562 , 37,580 ]"
"Participated for bond leave","    0.0164"," 0.00131","[ 0.014 , 0.019 ]","      5,408","       431","[ 4,563 , 6,253 ]"
"Participated for  for own illness or maternal disability leave","    0.3475"," 0.00441","[ 0.34 , 0.36 ]","    114,293","     1,713","[ 110,935 , 117,651 ]"
"Participated for ill relative or child bonding leave","    0.4040"," 0.00433","[ 0.4 , 0.41 ]","    132,900","     1,751","[ 129,468 , 136,332 ]"
"Participated for any reason","    0.4126"," 0.00421","[ 0.4 , 0.42 ]","    135,729","     1,721","[ 132,355 , 139,103 ]"
"Benefits Received ($), for own illness or maternal disability leave","1,978.7630","34.15769","[ 1,912 , 2,046 ]","650,860,655","12,654,341","[ 626,058,147 , 675,663,163 ]"
"Benefits Received ($), for for ill relative or child bonding leave","  592.4820"," 7.50578","[ 578 , 607 ]","194,880,941"," 2,693,943","[ 189,600,814 , 200,161,069 ]"
"Benefits Received ($), total","2,571.2449","39.92894","[ 2,493 , 2,650 ]","845,741,597","14,885,164","[ 816,566,675 , 874,916,518 ]"
