"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0372011231260991,0.00146579353572138,"[ 0.034 , 0.04 ]",19145,744.341521077523,"[ 17,686 , 20,604 ]"
"Participated for illspouse leave",0.00191786411728701,0.000226694917313985,"[ 0.0015 , 0.0024 ]",987,117.063444336821,"[ 758 , 1,216 ]"
"Participated for illchild leave",0.00415828694123019,0.000488482810480466,"[ 0.0032 , 0.0051 ]",2140,252.692105139832,"[ 1,645 , 2,635 ]"
"Participated for illparent leave",0.00383378510983513,0.000455292221278213,"[ 0.0029 , 0.0047 ]",1973,233.053534622412,"[ 1,516 , 2,430 ]"
"Participated for matdis leave",0.011200170994977,0.000947279416742026,"[ 0.0093 , 0.013 ]",5764,491.538706512519,"[ 4,801 , 6,727 ]"
"Participated for bond leave",0.00244833717100469,0.000444452387353795,"[ 0.0016 , 0.0033 ]",1260,228.620209080475,"[ 812 , 1,708 ]"
"Participated for  for own illness or maternal disability leave",0.0455487870043817,0.00165181388493198,"[ 0.042 , 0.049 ]",23441,844.607778794394,"[ 21,786 , 25,096 ]"
"Participated for ill relative or child bonding leave",0.0116995540528724,0.000861122415371772,"[ 0.01 , 0.013 ]",6021,444.109108215538,"[ 5,151 , 6,891 ]"
"Participated for any reason",0.0530783953675906,0.0018136276923153,"[ 0.05 , 0.057 ]",27316,927.444742289264,"[ 25,498 , 29,134 ]"
"Benefits Received ($), for own illness or maternal disability leave",223.372644808051,11.3598351423408,"[ 201 , 246 ]",114955381.060791,5842287.88873705,"[ 103,504,497 , 126,406,265 ]"
"Benefits Received ($), for for ill relative or child bonding leave",17.1858023081668,1.32039548659776,"[ 15 , 20 ]",8844415.3708634,682407.5319246,"[ 7,506,897 , 10,181,934 ]"
"Benefits Received ($), total",240.558447116218,11.6719378434442,"[ 218 , 263 ]",123799796.431655,6007267.4969964,"[ 112,025,552 , 135,574,041 ]"
