"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0138303272659463,0.00200785719395295,"[ 0.0099 , 0.018 ]",10680,655.577340975113,"[ 9,395 , 11,965 ]"
"Participated for illspouse leave",0.000420866700508666,0.000159530884934434,"[ 0.00011 , 0.00073 ]",325,135.640333234625,"[ 59 , 591 ]"
"Participated for illchild leave",1.68346680203466e-05,1.6881512271718e-05,"[ -0.000016 , 0.00005 ]",13,12.6095202129185,"[ -12 , 38 ]"
"Participated for illparent leave",1.68346680203466e-05,1.6881512271718e-05,"[ -0.000016 , 0.00005 ]",13,12.6095202129185,"[ -12 , 38 ]"
"Participated for matdis leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for bond leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for  for own illness or maternal disability leave",0.0138303272659463,0.00200785719395295,"[ 0.0099 , 0.018 ]",10680,655.577340975113,"[ 9,395 , 11,965 ]"
"Participated for ill relative or child bonding leave",0.000420866700508666,0.000159530884934434,"[ 0.00011 , 0.00073 ]",325,135.640333234625,"[ 59 , 591 ]"
"Participated for any reason",0.0138652915764501,0.00201504463831561,"[ 0.0099 , 0.018 ]",10707,656.214294266743,"[ 9,421 , 11,993 ]"
"Benefits Received ($), for own illness or maternal disability leave",49.5882223550734,8.0876210738302,"[ 34 , 65 ]",38292818.7141454,4010777.91213363,"[ 30,431,694 , 46,153,943 ]"
"Benefits Received ($), for for ill relative or child bonding leave",0.901994240750496,0.450415821474746,"[ 0.019 , 1.8 ]",696534.384615385,381266.336431043,"[ -50,748 , 1,443,816 ]"
"Benefits Received ($), total",50.4902165958239,8.01754739199185,"[ 35 , 66 ]",38989353.0987608,4057157.36581771,"[ 31,037,325 , 46,941,382 ]"
