"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave"," 0.013830","0.002008","[ 0.0099 , 0.018 ]","    10,680","      656","[ 9,395 , 11,965 ]"
"Participated for illspouse leave"," 0.000421","0.000160","[ 0.00011 , 0.00073 ]","       325","      136","[ 59 , 591 ]"
"Participated for illchild leave"," 0.000017","0.000017","[ -0.000016 , 0.00005 ]","        13","       13","[ -12 , 38 ]"
"Participated for illparent leave"," 0.000017","0.000017","[ -0.000016 , 0.00005 ]","        13","       13","[ -12 , 38 ]"
"Participated for matdis leave"," 0.000000","0.000000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for bond leave"," 0.000000","0.000000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for  for own illness or maternal disability leave"," 0.013830","0.002008","[ 0.0099 , 0.018 ]","    10,680","      656","[ 9,395 , 11,965 ]"
"Participated for ill relative or child bonding leave"," 0.000421","0.000160","[ 0.00011 , 0.00073 ]","       325","      136","[ 59 , 591 ]"
"Participated for any reason"," 0.013865","0.002015","[ 0.0099 , 0.018 ]","    10,707","      656","[ 9,421 , 11,993 ]"
"Benefits Received ($), for own illness or maternal disability leave","49.588222","8.087621","[ 34 , 65 ]","38,292,819","4,010,778","[ 30,431,694 , 46,153,943 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 0.901994","0.450416","[ 0.019 , 1.8 ]","   696,534","  381,266","[ -50,748 , 1,443,816 ]"
"Benefits Received ($), total","50.490217","8.017547","[ 35 , 66 ]","38,989,353","4,057,157","[ 31,037,325 , 46,941,382 ]"
