"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.0372"," 0.00147","[ 0.034 , 0.04 ]","     19,145","      744","[ 17,686 , 20,604 ]"
"Participated for illspouse leave","  0.0019"," 0.00023","[ 0.0015 , 0.0024 ]","        987","      117","[ 758 , 1,216 ]"
"Participated for illchild leave","  0.0042"," 0.00049","[ 0.0032 , 0.0051 ]","      2,140","      253","[ 1,645 , 2,635 ]"
"Participated for illparent leave","  0.0038"," 0.00046","[ 0.0029 , 0.0047 ]","      1,973","      233","[ 1,516 , 2,430 ]"
"Participated for matdis leave","  0.0112"," 0.00095","[ 0.0093 , 0.013 ]","      5,764","      492","[ 4,801 , 6,727 ]"
"Participated for bond leave","  0.0024"," 0.00044","[ 0.0016 , 0.0033 ]","      1,260","      229","[ 812 , 1,708 ]"
"Participated for  for own illness or maternal disability leave","  0.0455"," 0.00165","[ 0.042 , 0.049 ]","     23,441","      845","[ 21,786 , 25,096 ]"
"Participated for ill relative or child bonding leave","  0.0117"," 0.00086","[ 0.01 , 0.013 ]","      6,021","      444","[ 5,151 , 6,891 ]"
"Participated for any reason","  0.0531"," 0.00181","[ 0.05 , 0.057 ]","     27,316","      927","[ 25,498 , 29,134 ]"
"Benefits Received ($), for own illness or maternal disability leave","223.3726","11.35984","[ 201 , 246 ]","114,955,381","5,842,288","[ 103,504,497 , 126,406,265 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 17.1858"," 1.32040","[ 15 , 20 ]","  8,844,415","  682,408","[ 7,506,897 , 10,181,934 ]"
"Benefits Received ($), total","240.5584","11.67194","[ 218 , 263 ]","123,799,796","6,007,267","[ 112,025,552 , 135,574,041 ]"
