"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.344424592491067,0.00405054679510246,"[ 0.34 , 0.35 ]",140725,1877.70997494288,"[ 137,045 , 144,405 ]"
"Participated for illspouse leave",0.00606490772920848,0.000679067824026567,"[ 0.0047 , 0.0074 ]",2478,274.120867501911,"[ 1,941 , 3,015 ]"
"Participated for illchild leave",0.0959640706838318,0.00224187502159239,"[ 0.092 , 0.1 ]",39209,955.575533382893,"[ 37,336 , 41,082 ]"
"Participated for illparent leave",0.409053306573988,0.00402960451581899,"[ 0.4 , 0.42 ]",167131,1912.90712006621,"[ 163,382 , 170,880 ]"
"Participated for matdis leave",0.0522272260022517,0.00161732256955241,"[ 0.049 , 0.055 ]",21339,672.151396636204,"[ 20,022 , 22,656 ]"
"Participated for bond leave",0.0150252092613442,0.00115345013076452,"[ 0.013 , 0.017 ]",6139,465.722932654169,"[ 5,226 , 7,052 ]"
"Participated for  for own illness or maternal disability leave",0.352486661118998,0.00413738718334632,"[ 0.34 , 0.36 ]",144019,1892.4325351251,"[ 140,310 , 147,728 ]"
"Participated for ill relative or child bonding leave",0.410881589896715,0.00404157829110372,"[ 0.4 , 0.42 ]",167878,1911.98344658106,"[ 164,131 , 171,625 ]"
"Participated for any reason",0.417076215184297,0.00410955984550588,"[ 0.41 , 0.43 ]",170409,1944.71310223385,"[ 166,597 , 174,221 ]"
"Benefits Received ($), for own illness or maternal disability leave",3179.25990846344,48.1288070881523,"[ 3,085 , 3,274 ]",1298982013.39999,20586360.8316486,"[ 1,258,632,746 , 1,339,331,281 ]"
"Benefits Received ($), for for ill relative or child bonding leave",893.924457682587,9.73489395445432,"[ 875 , 913 ]",365239654.919951,4249514.56388099,"[ 356,910,606 , 373,568,703 ]"
"Benefits Received ($), total",4073.18436614603,56.4764705314395,"[ 3,962 , 4,184 ]",1664221668.31995,24294077.7084404,"[ 1,616,605,276 , 1,711,838,061 ]"
