"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0348810321878613,0.0014283486303308,"[ 0.032 , 0.038 ]",17951,745.198798979172,"[ 16,490 , 19,412 ]"
"Participated for illspouse leave",0.000307013708745033,0.000114824786006492,"[ 0.000082 , 0.00053 ]",158,59.0368528971523,"[ 42 , 274 ]"
"Participated for illchild leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for illparent leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for matdis leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for bond leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for  for own illness or maternal disability leave",0.0348810321878613,0.0014283486303308,"[ 0.032 , 0.038 ]",17951,745.198798979172,"[ 16,490 , 19,412 ]"
"Participated for ill relative or child bonding leave",0.000307013708745033,0.000114824786006492,"[ 0.000082 , 0.00053 ]",158,59.0368528971523,"[ 42 , 274 ]"
"Participated for any reason",0.0348810321878613,0.0014283486303308,"[ 0.032 , 0.038 ]",17951,745.198798979172,"[ 16,490 , 19,412 ]"
"Benefits Received ($), for own illness or maternal disability leave",105.412255426565,6.1971254825895,"[ 93 , 118 ]",54248836.0714504,3200934.96043916,"[ 47,975,004 , 60,522,669 ]"
"Benefits Received ($), for for ill relative or child bonding leave",0.260377818184808,0.0956698042966794,"[ 0.073 , 0.45 ]",133999.538461538,49187.1105866438,"[ 37,593 , 230,406 ]"
"Benefits Received ($), total",105.67263324475,6.21453877029046,"[ 93 , 118 ]",54382835.6099119,3209532.97391368,"[ 48,092,151 , 60,673,520 ]"
