"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.03488","0.00143","[ 0.032 , 0.038 ]","    17,951","      745","[ 16,490 , 19,412 ]"
"Participated for illspouse leave","  0.00031","0.00011","[ 0.000082 , 0.00053 ]","       158","       59","[ 42 , 274 ]"
"Participated for illchild leave","  0.00000","0.00000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for illparent leave","  0.00000","0.00000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for matdis leave","  0.00000","0.00000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for bond leave","  0.00000","0.00000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for  for own illness or maternal disability leave","  0.03488","0.00143","[ 0.032 , 0.038 ]","    17,951","      745","[ 16,490 , 19,412 ]"
"Participated for ill relative or child bonding leave","  0.00031","0.00011","[ 0.000082 , 0.00053 ]","       158","       59","[ 42 , 274 ]"
"Participated for any reason","  0.03488","0.00143","[ 0.032 , 0.038 ]","    17,951","      745","[ 16,490 , 19,412 ]"
"Benefits Received ($), for own illness or maternal disability leave","105.41226","6.19713","[ 93 , 118 ]","54,248,836","3,200,935","[ 47,975,004 , 60,522,669 ]"
"Benefits Received ($), for for ill relative or child bonding leave","  0.26038","0.09567","[ 0.073 , 0.45 ]","   134,000","   49,187","[ 37,593 , 230,406 ]"
"Benefits Received ($), total","105.67263","6.21454","[ 93 , 118 ]","54,382,836","3,209,533","[ 48,092,151 , 60,673,520 ]"
