"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","    0.3444"," 0.00405","[ 0.34 , 0.35 ]","      140,725","     1,878","[ 137,045 , 144,405 ]"
"Participated for illspouse leave","    0.0061"," 0.00068","[ 0.0047 , 0.0074 ]","        2,478","       274","[ 1,941 , 3,015 ]"
"Participated for illchild leave","    0.0960"," 0.00224","[ 0.092 , 0.1 ]","       39,209","       956","[ 37,336 , 41,082 ]"
"Participated for illparent leave","    0.4091"," 0.00403","[ 0.4 , 0.42 ]","      167,131","     1,913","[ 163,382 , 170,880 ]"
"Participated for matdis leave","    0.0522"," 0.00162","[ 0.049 , 0.055 ]","       21,339","       672","[ 20,022 , 22,656 ]"
"Participated for bond leave","    0.0150"," 0.00115","[ 0.013 , 0.017 ]","        6,139","       466","[ 5,226 , 7,052 ]"
"Participated for  for own illness or maternal disability leave","    0.3525"," 0.00414","[ 0.34 , 0.36 ]","      144,019","     1,892","[ 140,310 , 147,728 ]"
"Participated for ill relative or child bonding leave","    0.4109"," 0.00404","[ 0.4 , 0.42 ]","      167,878","     1,912","[ 164,131 , 171,625 ]"
"Participated for any reason","    0.4171"," 0.00411","[ 0.41 , 0.43 ]","      170,409","     1,945","[ 166,597 , 174,221 ]"
"Benefits Received ($), for own illness or maternal disability leave","3,179.2599","48.12881","[ 3,085 , 3,274 ]","1,298,982,013","20,586,361","[ 1,258,632,746 , 1,339,331,281 ]"
"Benefits Received ($), for for ill relative or child bonding leave","  893.9245"," 9.73489","[ 875 , 913 ]","  365,239,655"," 4,249,515","[ 356,910,606 , 373,568,703 ]"
"Benefits Received ($), total","4,073.1844","56.47647","[ 3,962 , 4,184 ]","1,664,221,668","24,294,078","[ 1,616,605,276 , 1,711,838,061 ]"
