"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0181390694375625,0.00124532892465763,"[ 0.016 , 0.021 ]",9335,639.231100620112,"[ 8,082 , 10,588 ]"
"Participated for illspouse leave",0.00207137097165953,0.000247258718315989,"[ 0.0016 , 0.0026 ]",1066,128.255409242651,"[ 815 , 1,317 ]"
"Participated for illchild leave",0.00321975769234506,0.000374647751061818,"[ 0.0025 , 0.004 ]",1657,193.629543200411,"[ 1,277 , 2,037 ]"
"Participated for illparent leave",0.00484809622353707,0.000550465464354298,"[ 0.0038 , 0.0059 ]",2495,284.526097221327,"[ 1,937 , 3,053 ]"
"Participated for matdis leave",0.0065774772411515,0.000699632625026408,"[ 0.0052 , 0.0079 ]",3385,360.060203299393,"[ 2,679 , 4,091 ]"
"Participated for bond leave",0.00183236662877573,0.000349400953033801,"[ 0.0011 , 0.0025 ]",943,180.226801558481,"[ 590 , 1,296 ]"
"Participated for  for own illness or maternal disability leave",0.0237236099371399,0.00142621172435428,"[ 0.021 , 0.027 ]",12209,731.924278870431,"[ 10,774 , 13,644 ]"
"Participated for ill relative or child bonding leave",0.0112934409824439,0.000864886769714302,"[ 0.0096 , 0.013 ]",5812,451.068952600376,"[ 4,928 , 6,696 ]"
"Participated for any reason",0.0318944494641833,0.00160328062413315,"[ 0.029 , 0.035 ]",16414,827.108185184985,"[ 14,793 , 18,035 ]"
"Benefits Received ($), for own illness or maternal disability leave",88.5368308205363,7.06342576008975,"[ 75 , 102 ]",45564151.9293267,3640609.64763542,"[ 38,428,557 , 52,699,747 ]"
"Benefits Received ($), for for ill relative or child bonding leave",12.4695758200283,1.20831164057079,"[ 10 , 15 ]",6417280.15214024,624018.056147926,"[ 5,194,205 , 7,640,356 ]"
"Benefits Received ($), total",101.006406640565,7.72787398991816,"[ 86 , 116 ]",51981432.0814669,3985515.50498018,"[ 44,169,822 , 59,793,042 ]"
