"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.0181","0.00125","[ 0.016 , 0.021 ]","     9,335","      639","[ 8,082 , 10,588 ]"
"Participated for illspouse leave","  0.0021","0.00025","[ 0.0016 , 0.0026 ]","     1,066","      128","[ 815 , 1,317 ]"
"Participated for illchild leave","  0.0032","0.00037","[ 0.0025 , 0.004 ]","     1,657","      194","[ 1,277 , 2,037 ]"
"Participated for illparent leave","  0.0048","0.00055","[ 0.0038 , 0.0059 ]","     2,495","      285","[ 1,937 , 3,053 ]"
"Participated for matdis leave","  0.0066","0.00070","[ 0.0052 , 0.0079 ]","     3,385","      360","[ 2,679 , 4,091 ]"
"Participated for bond leave","  0.0018","0.00035","[ 0.0011 , 0.0025 ]","       943","      180","[ 590 , 1,296 ]"
"Participated for  for own illness or maternal disability leave","  0.0237","0.00143","[ 0.021 , 0.027 ]","    12,209","      732","[ 10,774 , 13,644 ]"
"Participated for ill relative or child bonding leave","  0.0113","0.00086","[ 0.0096 , 0.013 ]","     5,812","      451","[ 4,928 , 6,696 ]"
"Participated for any reason","  0.0319","0.00160","[ 0.029 , 0.035 ]","    16,414","      827","[ 14,793 , 18,035 ]"
"Benefits Received ($), for own illness or maternal disability leave"," 88.5368","7.06343","[ 75 , 102 ]","45,564,152","3,640,610","[ 38,428,557 , 52,699,747 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 12.4696","1.20831","[ 10 , 15 ]"," 6,417,280","  624,018","[ 5,194,205 , 7,640,356 ]"
"Benefits Received ($), total","101.0064","7.72787","[ 86 , 116 ]","51,981,432","3,985,516","[ 44,169,822 , 59,793,042 ]"
