"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0121365790777781,0.00110612209345497,"[ 0.01 , 0.014 ]",3992,363.903009055985,"[ 3,279 , 4,705 ]"
"Participated for illspouse leave",0.00105495815129985,0.00027088315336556,"[ 0.00052 , 0.0016 ]",347,88.7595065331033,"[ 173 , 521 ]"
"Participated for illchild leave",0.00194878436594583,0.000435895813397604,"[ 0.0011 , 0.0028 ]",641,143.488849741016,"[ 360 , 922 ]"
"Participated for illparent leave",0.00315271355302001,0.000616151935703405,"[ 0.0019 , 0.0044 ]",1037,201.948384494652,"[ 641 , 1,433 ]"
"Participated for matdis leave",0.00460898143334458,0.000619746969456118,"[ 0.0034 , 0.0058 ]",1516,204.33930116353,"[ 1,115 , 1,917 ]"
"Participated for bond leave",0.00164172161873752,0.000371352061135346,"[ 0.00091 , 0.0024 ]",540,121.78341430589,"[ 301 , 779 ]"
"Participated for  for own illness or maternal disability leave",0.0166209112771074,0.00114475098800843,"[ 0.014 , 0.019 ]",5467,377.786646137737,"[ 4,727 , 6,207 ]"
"Participated for ill relative or child bonding leave",0.00753671832009315,0.00092482766746555,"[ 0.0057 , 0.0093 ]",2479,301.598574267187,"[ 1,888 , 3,070 ]"
"Participated for any reason",0.0234553375714073,0.00164730927465557,"[ 0.02 , 0.027 ]",7715,537.891159994287,"[ 6,661 , 8,769 ]"
"Benefits Received ($), for own illness or maternal disability leave",57.6784754738722,5.60959714821568,"[ 47 , 69 ]",18971777.1882925,1853952.36510522,"[ 15,338,031 , 22,605,524 ]"
"Benefits Received ($), for for ill relative or child bonding leave",8.01377027362328,1.02809802842231,"[ 6 , 10 ]",2635913.35971099,334210.251830731,"[ 1,980,861 , 3,290,965 ]"
"Benefits Received ($), total",65.6922457474954,6.02431477979756,"[ 54 , 77 ]",21607690.5480034,1985518.25861073,"[ 17,716,075 , 25,499,306 ]"
