"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.00857532089467196,0.00234159520090377,"[ 0.004 , 0.013 ]",6622,1575.67609298358,"[ 3,534 , 9,710 ]"
"Participated for illspouse leave",1.42447190941395e-05,1.49741052309666e-05,"[ -0.000015 , 0.000044 ]",11,11.238327277669,"[ -11 , 33 ]"
"Participated for illchild leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for illparent leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for matdis leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for bond leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for  for own illness or maternal disability leave",0.00857532089467196,0.00234159520090377,"[ 0.004 , 0.013 ]",6622,1575.67609298358,"[ 3,534 , 9,710 ]"
"Participated for ill relative or child bonding leave",1.42447190941395e-05,1.49741052309666e-05,"[ -0.000015 , 0.000044 ]",11,11.238327277669,"[ -11 , 33 ]"
"Participated for any reason",0.00857532089467196,0.00234159520090377,"[ 0.004 , 0.013 ]",6622,1575.67609298358,"[ 3,534 , 9,710 ]"
"Benefits Received ($), for own illness or maternal disability leave",62.6944355570835,32.497182662704,"[ -1 , 126 ]",48413646.2481488,24462292.6992219,"[ 467,553 , 96,359,740 ]"
"Benefits Received ($), for for ill relative or child bonding leave",0.00913196068696602,0.00959955330729815,"[ -0.0097 , 0.028 ]",7051.84615384615,7204.63227169952,"[ -7,069 , 21,173 ]"
"Benefits Received ($), total",62.7035675177704,32.4985094461051,"[ -0.99 , 126 ]",48420698.0943026,24462927.3236725,"[ 473,361 , 96,368,036 ]"
