"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave"," 0.008575"," 0.002342","[ 0.004 , 0.013 ]","     6,622","     1,576","[ 3,534 , 9,710 ]"
"Participated for illspouse leave"," 0.000014"," 0.000015","[ -0.000015 , 0.000044 ]","        11","        11","[ -11 , 33 ]"
"Participated for illchild leave"," 0.000000"," 0.000000","[ 0 , 0 ]","         0","         0","[ 0 , 0 ]"
"Participated for illparent leave"," 0.000000"," 0.000000","[ 0 , 0 ]","         0","         0","[ 0 , 0 ]"
"Participated for matdis leave"," 0.000000"," 0.000000","[ 0 , 0 ]","         0","         0","[ 0 , 0 ]"
"Participated for bond leave"," 0.000000"," 0.000000","[ 0 , 0 ]","         0","         0","[ 0 , 0 ]"
"Participated for  for own illness or maternal disability leave"," 0.008575"," 0.002342","[ 0.004 , 0.013 ]","     6,622","     1,576","[ 3,534 , 9,710 ]"
"Participated for ill relative or child bonding leave"," 0.000014"," 0.000015","[ -0.000015 , 0.000044 ]","        11","        11","[ -11 , 33 ]"
"Participated for any reason"," 0.008575"," 0.002342","[ 0.004 , 0.013 ]","     6,622","     1,576","[ 3,534 , 9,710 ]"
"Benefits Received ($), for own illness or maternal disability leave","62.694436","32.497183","[ -1 , 126 ]","48,413,646","24,462,293","[ 467,553 , 96,359,740 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 0.009132"," 0.009600","[ -0.0097 , 0.028 ]","     7,052","     7,205","[ -7,069 , 21,173 ]"
"Benefits Received ($), total","62.703568","32.498509","[ -0.99 , 126 ]","48,420,698","24,462,927","[ 473,361 , 96,368,036 ]"
