"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave"," 0.0121","0.00111","[ 0.01 , 0.014 ]","     3,992","      364","[ 3,279 , 4,705 ]"
"Participated for illspouse leave"," 0.0011","0.00027","[ 0.00052 , 0.0016 ]","       347","       89","[ 173 , 521 ]"
"Participated for illchild leave"," 0.0019","0.00044","[ 0.0011 , 0.0028 ]","       641","      143","[ 360 , 922 ]"
"Participated for illparent leave"," 0.0032","0.00062","[ 0.0019 , 0.0044 ]","     1,037","      202","[ 641 , 1,433 ]"
"Participated for matdis leave"," 0.0046","0.00062","[ 0.0034 , 0.0058 ]","     1,516","      204","[ 1,115 , 1,917 ]"
"Participated for bond leave"," 0.0016","0.00037","[ 0.00091 , 0.0024 ]","       540","      122","[ 301 , 779 ]"
"Participated for  for own illness or maternal disability leave"," 0.0166","0.00114","[ 0.014 , 0.019 ]","     5,467","      378","[ 4,727 , 6,207 ]"
"Participated for ill relative or child bonding leave"," 0.0075","0.00092","[ 0.0057 , 0.0093 ]","     2,479","      302","[ 1,888 , 3,070 ]"
"Participated for any reason"," 0.0235","0.00165","[ 0.02 , 0.027 ]","     7,715","      538","[ 6,661 , 8,769 ]"
"Benefits Received ($), for own illness or maternal disability leave","57.6785","5.60960","[ 47 , 69 ]","18,971,777","1,853,952","[ 15,338,031 , 22,605,524 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 8.0138","1.02810","[ 6 , 10 ]"," 2,635,913","  334,210","[ 1,980,861 , 3,290,965 ]"
"Benefits Received ($), total","65.6922","6.02431","[ 54 , 77 ]","21,607,691","1,985,518","[ 17,716,075 , 25,499,306 ]"
