"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0273378219514802,0.00110029762822573,"[ 0.025 , 0.029 ]",14069,578.291103165179,"[ 12,936 , 15,202 ]"
"Participated for illspouse leave",0.000643174288573455,0.000162598857549608,"[ 0.00032 , 0.00096 ]",331,83.7197706638044,"[ 167 , 495 ]"
"Participated for illchild leave",0.00222682095077093,0.00030044396955241,"[ 0.0016 , 0.0028 ]",1146,155.914399591571,"[ 840 , 1,452 ]"
"Participated for illparent leave",0.00233952218562671,0.000357746228337514,"[ 0.0016 , 0.003 ]",1204,183.440998688952,"[ 844 , 1,564 ]"
"Participated for matdis leave",0.0113517347246106,0.000799380897472882,"[ 0.0098 , 0.013 ]",5842,414.766018376626,"[ 5,029 , 6,655 ]"
"Participated for bond leave",0.00273203338288301,0.000326080984443955,"[ 0.0021 , 0.0034 ]",1406,168.254420447131,"[ 1,076 , 1,736 ]"
"Participated for  for own illness or maternal disability leave",0.0374653880905885,0.0013442315446781,"[ 0.035 , 0.04 ]",19281,709.684084646119,"[ 17,890 , 20,672 ]"
"Participated for ill relative or child bonding leave",0.00788908643990401,0.000593076386860925,"[ 0.0067 , 0.0091 ]",4060,306.764975184587,"[ 3,459 , 4,661 ]"
"Participated for any reason",0.0437125341261282,0.00145311090564344,"[ 0.041 , 0.047 ]",22496,769.808645054081,"[ 20,987 , 24,005 ]"
"Benefits Received ($), for own illness or maternal disability leave",179.9712515251,10.8640162836219,"[ 159 , 201 ]",92619505.0286197,5732289.26542556,"[ 81,384,218 , 103,854,792 ]"
"Benefits Received ($), for for ill relative or child bonding leave",11.5709101316029,1.06852464316547,"[ 9.5 , 14 ]",5954795.33557747,549708.189006481,"[ 4,877,367 , 7,032,223 ]"
"Benefits Received ($), total",191.542161656703,11.0660519952387,"[ 170 , 213 ]",98574300.3641972,5841501.58479281,"[ 87,124,957 , 110,023,643 ]"
