"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0113206667564516,0.00344150332578641,"[ 0.0046 , 0.018 ]",8742,2397.50006256517,"[ 4,043 , 13,441 ]"
"Participated for illspouse leave",1.42447190941395e-05,1.49741052309666e-05,"[ -0.000015 , 0.000044 ]",11,11.238327277669,"[ -11 , 33 ]"
"Participated for illchild leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for illparent leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for matdis leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for bond leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for  for own illness or maternal disability leave",0.0113206667564516,0.00344150332578641,"[ 0.0046 , 0.018 ]",8742,2397.50006256517,"[ 4,043 , 13,441 ]"
"Participated for ill relative or child bonding leave",1.42447190941395e-05,1.49741052309666e-05,"[ -0.000015 , 0.000044 ]",11,11.238327277669,"[ -11 , 33 ]"
"Participated for any reason",0.0113206667564516,0.00344150332578641,"[ 0.0046 , 0.018 ]",8742,2397.50006256517,"[ 4,043 , 13,441 ]"
"Benefits Received ($), for own illness or maternal disability leave",89.3124025041468,49.4213700979648,"[ -7.6 , 186 ]",68968466.2121422,37359144.8540378,"[ -4,255,458 , 142,192,390 ]"
"Benefits Received ($), for for ill relative or child bonding leave",0.00913196068696602,0.00959955330729815,"[ -0.0097 , 0.028 ]",7051.84615384615,7204.63227169952,"[ -7,069 , 21,173 ]"
"Benefits Received ($), total",89.3215344648338,49.4226704777357,"[ -7.5 , 186 ]",68975518.0582961,37359777.1838747,"[ -4,249,645 , 142,200,681 ]"
