"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.02734"," 0.00110","[ 0.025 , 0.029 ]","    14,069","      578","[ 12,936 , 15,202 ]"
"Participated for illspouse leave","  0.00064"," 0.00016","[ 0.00032 , 0.00096 ]","       331","       84","[ 167 , 495 ]"
"Participated for illchild leave","  0.00223"," 0.00030","[ 0.0016 , 0.0028 ]","     1,146","      156","[ 840 , 1,452 ]"
"Participated for illparent leave","  0.00234"," 0.00036","[ 0.0016 , 0.003 ]","     1,204","      183","[ 844 , 1,564 ]"
"Participated for matdis leave","  0.01135"," 0.00080","[ 0.0098 , 0.013 ]","     5,842","      415","[ 5,029 , 6,655 ]"
"Participated for bond leave","  0.00273"," 0.00033","[ 0.0021 , 0.0034 ]","     1,406","      168","[ 1,076 , 1,736 ]"
"Participated for  for own illness or maternal disability leave","  0.03747"," 0.00134","[ 0.035 , 0.04 ]","    19,281","      710","[ 17,890 , 20,672 ]"
"Participated for ill relative or child bonding leave","  0.00789"," 0.00059","[ 0.0067 , 0.0091 ]","     4,060","      307","[ 3,459 , 4,661 ]"
"Participated for any reason","  0.04371"," 0.00145","[ 0.041 , 0.047 ]","    22,496","      770","[ 20,987 , 24,005 ]"
"Benefits Received ($), for own illness or maternal disability leave","179.97125","10.86402","[ 159 , 201 ]","92,619,505","5,732,289","[ 81,384,218 , 103,854,792 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 11.57091"," 1.06852","[ 9.5 , 14 ]"," 5,954,795","  549,708","[ 4,877,367 , 7,032,223 ]"
"Benefits Received ($), total","191.54216","11.06605","[ 170 , 213 ]","98,574,300","5,841,502","[ 87,124,957 , 110,023,643 ]"
