"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0094081942336874,0.000857220524169083,"[ 0.0077 , 0.011 ]",3844,352.088270182351,"[ 3,154 , 4,534 ]"
"Participated for illspouse leave",0.0010989279945176,0.00028572321055691,"[ 0.00054 , 0.0017 ]",449,117.152251365477,"[ 219 , 679 ]"
"Participated for illchild leave",0.00132654559694552,0.000345561978539633,"[ 0.00065 , 0.002 ]",542,141.971299916568,"[ 264 , 820 ]"
"Participated for illparent leave",0.00275099123794606,0.000442435101295167,"[ 0.0019 , 0.0036 ]",1124,180.772508971912,"[ 770 , 1,478 ]"
"Participated for matdis leave",0.00446913701111165,0.000651451948768004,"[ 0.0032 , 0.0057 ]",1826,265.659650681092,"[ 1,305 , 2,347 ]"
"Participated for bond leave",0.00228107102648196,0.000435309063363423,"[ 0.0014 , 0.0031 ]",932,177.202849864216,"[ 585 , 1,279 ]"
"Participated for  for own illness or maternal disability leave",0.0133339860002937,0.00108466279589548,"[ 0.011 , 0.015 ]",5448,445.723120333689,"[ 4,574 , 6,322 ]"
"Participated for ill relative or child bonding leave",0.00742327084047188,0.000769908281748667,"[ 0.0059 , 0.0089 ]",3033,316.194481292764,"[ 2,413 , 3,653 ]"
"Participated for any reason",0.0200254540114543,0.00132663347763877,"[ 0.017 , 0.023 ]",8182,549.409819715665,"[ 7,105 , 9,259 ]"
"Benefits Received ($), for own illness or maternal disability leave",76.757729240717,7.78033641908248,"[ 62 , 92 ]",31361673.0131722,3202007.15270848,"[ 25,085,739 , 37,637,607 ]"
"Benefits Received ($), for for ill relative or child bonding leave",10.1973931055346,1.41322300073884,"[ 7.4 , 13 ]",4166450.87505932,579828.18027255,"[ 3,029,988 , 5,302,914 ]"
"Benefits Received ($), total",86.9551223462516,8.1752916111776,"[ 71 , 103 ]",35528123.8882315,3368221.75848937,"[ 28,926,409 , 42,129,839 ]"
