"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0271711899791232,0.00127698139998402,"[ 0.025 , 0.03 ]",13015,615.789290260881,"[ 11,808 , 14,222 ]"
"Participated for illspouse leave",0.00106680584551148,0.000223392134045635,"[ 0.00063 , 0.0015 ]",511,107.24551272664,"[ 301 , 721 ]"
"Participated for illchild leave",0.00194989561586639,0.00031557375727956,"[ 0.0013 , 0.0026 ]",934,151.219211742424,"[ 638 , 1,230 ]"
"Participated for illparent leave",0.00179540709812109,0.000344839373379901,"[ 0.0011 , 0.0025 ]",860,165.952101523301,"[ 535 , 1,185 ]"
"Participated for matdis leave",0.0114384133611691,0.000820214501074621,"[ 0.0098 , 0.013 ]",5479,392.808222928187,"[ 4,709 , 6,249 ]"
"Participated for bond leave",0.00292066805845511,0.000479183283042004,"[ 0.002 , 0.0039 ]",1399,229.247137386708,"[ 950 , 1,848 ]"
"Participated for  for own illness or maternal disability leave",0.0371711899791232,0.00158055574338031,"[ 0.034 , 0.04 ]",17805,766.028883267465,"[ 16,304 , 19,306 ]"
"Participated for ill relative or child bonding leave",0.00747181628392484,0.000659514624149756,"[ 0.0062 , 0.0088 ]",3579,316.967348476148,"[ 2,958 , 4,200 ]"
"Participated for any reason",0.0433987473903967,0.00173042554053386,"[ 0.04 , 0.047 ]",20788,842.860931589548,"[ 19,136 , 22,440 ]"
"Benefits Received ($), for own illness or maternal disability leave",148.966323969782,7.68317789192293,"[ 134 , 164 ]",71354869.1815254,3677521.47399752,"[ 64,146,927 , 78,562,811 ]"
"Benefits Received ($), for for ill relative or child bonding leave",8.31113638271906,0.916414301418067,"[ 6.5 , 10 ]",3981034.32732243,438604.060040085,"[ 3,121,370 , 4,840,698 ]"
"Benefits Received ($), total",157.277460352501,7.67624015914759,"[ 142 , 172 ]",75335903.5088478,3673472.98783915,"[ 68,135,896 , 82,535,911 ]"
