"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.0272","0.00128","[ 0.025 , 0.03 ]","    13,015","      616","[ 11,808 , 14,222 ]"
"Participated for illspouse leave","  0.0011","0.00022","[ 0.00063 , 0.0015 ]","       511","      107","[ 301 , 721 ]"
"Participated for illchild leave","  0.0019","0.00032","[ 0.0013 , 0.0026 ]","       934","      151","[ 638 , 1,230 ]"
"Participated for illparent leave","  0.0018","0.00034","[ 0.0011 , 0.0025 ]","       860","      166","[ 535 , 1,185 ]"
"Participated for matdis leave","  0.0114","0.00082","[ 0.0098 , 0.013 ]","     5,479","      393","[ 4,709 , 6,249 ]"
"Participated for bond leave","  0.0029","0.00048","[ 0.002 , 0.0039 ]","     1,399","      229","[ 950 , 1,848 ]"
"Participated for  for own illness or maternal disability leave","  0.0372","0.00158","[ 0.034 , 0.04 ]","    17,805","      766","[ 16,304 , 19,306 ]"
"Participated for ill relative or child bonding leave","  0.0075","0.00066","[ 0.0062 , 0.0088 ]","     3,579","      317","[ 2,958 , 4,200 ]"
"Participated for any reason","  0.0434","0.00173","[ 0.04 , 0.047 ]","    20,788","      843","[ 19,136 , 22,440 ]"
"Benefits Received ($), for own illness or maternal disability leave","148.9663","7.68318","[ 134 , 164 ]","71,354,869","3,677,521","[ 64,146,927 , 78,562,811 ]"
"Benefits Received ($), for for ill relative or child bonding leave","  8.3111","0.91641","[ 6.5 , 10 ]"," 3,981,034","  438,604","[ 3,121,370 , 4,840,698 ]"
"Benefits Received ($), total","157.2775","7.67624","[ 142 , 172 ]","75,335,904","3,673,473","[ 68,135,896 , 82,535,911 ]"
