"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave"," 0.0094","0.00086","[ 0.0077 , 0.011 ]","     3,844","      352","[ 3,154 , 4,534 ]"
"Participated for illspouse leave"," 0.0011","0.00029","[ 0.00054 , 0.0017 ]","       449","      117","[ 219 , 679 ]"
"Participated for illchild leave"," 0.0013","0.00035","[ 0.00065 , 0.002 ]","       542","      142","[ 264 , 820 ]"
"Participated for illparent leave"," 0.0028","0.00044","[ 0.0019 , 0.0036 ]","     1,124","      181","[ 770 , 1,478 ]"
"Participated for matdis leave"," 0.0045","0.00065","[ 0.0032 , 0.0057 ]","     1,826","      266","[ 1,305 , 2,347 ]"
"Participated for bond leave"," 0.0023","0.00044","[ 0.0014 , 0.0031 ]","       932","      177","[ 585 , 1,279 ]"
"Participated for  for own illness or maternal disability leave"," 0.0133","0.00108","[ 0.011 , 0.015 ]","     5,448","      446","[ 4,574 , 6,322 ]"
"Participated for ill relative or child bonding leave"," 0.0074","0.00077","[ 0.0059 , 0.0089 ]","     3,033","      316","[ 2,413 , 3,653 ]"
"Participated for any reason"," 0.0200","0.00133","[ 0.017 , 0.023 ]","     8,182","      549","[ 7,105 , 9,259 ]"
"Benefits Received ($), for own illness or maternal disability leave","76.7577","7.78034","[ 62 , 92 ]","31,361,673","3,202,007","[ 25,085,739 , 37,637,607 ]"
"Benefits Received ($), for for ill relative or child bonding leave","10.1974","1.41322","[ 7.4 , 13 ]"," 4,166,451","  579,828","[ 3,029,988 , 5,302,914 ]"
"Benefits Received ($), total","86.9551","8.17529","[ 71 , 103 ]","35,528,124","3,368,222","[ 28,926,409 , 42,129,839 ]"
