"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0123932495846571,0.000911179610912238,"[ 0.011 , 0.014 ]",6378,460.89998915166,"[ 5,475 , 7,281 ]"
"Participated for illspouse leave",0.000977391743662984,0.000244823686745331,"[ 0.0005 , 0.0015 ]",503,126.16417875134,"[ 256 , 750 ]"
"Participated for illchild leave",0.00183042350403684,0.00038125396182663,"[ 0.0011 , 0.0026 ]",942,195.654031392149,"[ 559 , 1,325 ]"
"Participated for illparent leave",0.00234340843510449,0.000423350531205534,"[ 0.0015 , 0.0032 ]",1206,217.73056744518,"[ 779 , 1,633 ]"
"Participated for matdis leave",0.0117675634187337,0.000777600695984762,"[ 0.01 , 0.013 ]",6056,398.671982963438,"[ 5,275 , 6,837 ]"
"Participated for bond leave",0.00338298017041204,0.000570657974907166,"[ 0.0023 , 0.0045 ]",1741,292.719404891442,"[ 1,167 , 2,315 ]"
"Participated for  for own illness or maternal disability leave",0.023504036841645,0.00126491704390794,"[ 0.021 , 0.026 ]",12096,639.155458398033,"[ 10,843 , 13,349 ]"
"Participated for ill relative or child bonding leave",0.00838458324832163,0.000808371663081474,"[ 0.0068 , 0.01 ]",4315,413.136176096938,"[ 3,505 , 5,125 ]"
"Participated for any reason",0.0307557783671923,0.00145817662411656,"[ 0.028 , 0.034 ]",15828,730.468274465086,"[ 14,396 , 17,260 ]"
"Benefits Received ($), for own illness or maternal disability leave",88.8810470280512,6.16639634987795,"[ 77 , 101 ]",45741297.6372811,3161458.23140279,"[ 39,544,840 , 51,937,756 ]"
"Benefits Received ($), for for ill relative or child bonding leave",8.58452464191025,0.847091495429341,"[ 6.9 , 10 ]",4417896.83908948,435357.048341753,"[ 3,564,597 , 5,271,197 ]"
"Benefits Received ($), total",97.4655716699614,6.29384649146932,"[ 85 , 110 ]",50159194.4763706,3225174.36327926,"[ 43,837,853 , 56,480,536 ]"
