"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave"," 0.01239","0.00091","[ 0.011 , 0.014 ]","     6,378","      461","[ 5,475 , 7,281 ]"
"Participated for illspouse leave"," 0.00098","0.00024","[ 0.0005 , 0.0015 ]","       503","      126","[ 256 , 750 ]"
"Participated for illchild leave"," 0.00183","0.00038","[ 0.0011 , 0.0026 ]","       942","      196","[ 559 , 1,325 ]"
"Participated for illparent leave"," 0.00234","0.00042","[ 0.0015 , 0.0032 ]","     1,206","      218","[ 779 , 1,633 ]"
"Participated for matdis leave"," 0.01177","0.00078","[ 0.01 , 0.013 ]","     6,056","      399","[ 5,275 , 6,837 ]"
"Participated for bond leave"," 0.00338","0.00057","[ 0.0023 , 0.0045 ]","     1,741","      293","[ 1,167 , 2,315 ]"
"Participated for  for own illness or maternal disability leave"," 0.02350","0.00126","[ 0.021 , 0.026 ]","    12,096","      639","[ 10,843 , 13,349 ]"
"Participated for ill relative or child bonding leave"," 0.00838","0.00081","[ 0.0068 , 0.01 ]","     4,315","      413","[ 3,505 , 5,125 ]"
"Participated for any reason"," 0.03076","0.00146","[ 0.028 , 0.034 ]","    15,828","      730","[ 14,396 , 17,260 ]"
"Benefits Received ($), for own illness or maternal disability leave","88.88105","6.16640","[ 77 , 101 ]","45,741,298","3,161,458","[ 39,544,840 , 51,937,756 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 8.58452","0.84709","[ 6.9 , 10 ]"," 4,417,897","  435,357","[ 3,564,597 , 5,271,197 ]"
"Benefits Received ($), total","97.46557","6.29385","[ 85 , 110 ]","50,159,194","3,225,174","[ 43,837,853 , 56,480,536 ]"
