"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0112481314508022,0.000870354098116998,"[ 0.0095 , 0.013 ]",4733,370.517206078206,"[ 4,007 , 5,459 ]"
"Participated for illspouse leave",0.000853175404783011,0.000174867520883822,"[ 0.00051 , 0.0012 ]",359,73.84172262346,"[ 214 , 504 ]"
"Participated for illchild leave",0.00127382177427213,0.000331444141009967,"[ 0.00062 , 0.0019 ]",536,139.145607189016,"[ 263 , 809 ]"
"Participated for illparent leave",0.002348014763024,0.000498576318977997,"[ 0.0014 , 0.0033 ]",988,209.523029760454,"[ 577 , 1,399 ]"
"Participated for matdis leave",0.0123555959038074,0.00103818749377912,"[ 0.01 , 0.014 ]",5199,433.159497183197,"[ 4,350 , 6,048 ]"
"Participated for bond leave",0.00375016932798772,0.000604822626313249,"[ 0.0026 , 0.0049 ]",1578,255.346529249959,"[ 1,078 , 2,078 ]"
"Participated for  for own illness or maternal disability leave",0.0229786991332784,0.0012587114571531,"[ 0.021 , 0.025 ]",9669,530.513289183221,"[ 8,629 , 10,709 ]"
"Participated for ill relative or child bonding leave",0.00822518127006685,0.000971408900302124,"[ 0.0063 , 0.01 ]",3461,408.906529661731,"[ 2,660 , 4,262 ]"
"Participated for any reason",0.0300774036850523,0.00157630339799993,"[ 0.027 , 0.033 ]",12656,663.968862221716,"[ 11,355 , 13,957 ]"
"Benefits Received ($), for own illness or maternal disability leave",89.5353216568086,7.55598148602194,"[ 75 , 104 ]",37674762.1820736,3174871.14758222,"[ 31,452,015 , 43,897,510 ]"
"Benefits Received ($), for for ill relative or child bonding leave",10.1211507118125,1.46682192405653,"[ 7.2 , 13 ]",4258787.91766719,618444.916020737,"[ 3,046,636 , 5,470,940 ]"
"Benefits Received ($), total",99.6564723686211,7.51868417980294,"[ 85 , 114 ]",41933550.0997408,3161626.2474409,"[ 35,736,763 , 48,130,338 ]"
