"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.01125","0.00087","[ 0.0095 , 0.013 ]","     4,733","      371","[ 4,007 , 5,459 ]"
"Participated for illspouse leave","  0.00085","0.00017","[ 0.00051 , 0.0012 ]","       359","       74","[ 214 , 504 ]"
"Participated for illchild leave","  0.00127","0.00033","[ 0.00062 , 0.0019 ]","       536","      139","[ 263 , 809 ]"
"Participated for illparent leave","  0.00235","0.00050","[ 0.0014 , 0.0033 ]","       988","      210","[ 577 , 1,399 ]"
"Participated for matdis leave","  0.01236","0.00104","[ 0.01 , 0.014 ]","     5,199","      433","[ 4,350 , 6,048 ]"
"Participated for bond leave","  0.00375","0.00060","[ 0.0026 , 0.0049 ]","     1,578","      255","[ 1,078 , 2,078 ]"
"Participated for  for own illness or maternal disability leave","  0.02298","0.00126","[ 0.021 , 0.025 ]","     9,669","      531","[ 8,629 , 10,709 ]"
"Participated for ill relative or child bonding leave","  0.00823","0.00097","[ 0.0063 , 0.01 ]","     3,461","      409","[ 2,660 , 4,262 ]"
"Participated for any reason","  0.03008","0.00158","[ 0.027 , 0.033 ]","    12,656","      664","[ 11,355 , 13,957 ]"
"Benefits Received ($), for own illness or maternal disability leave"," 89.53532","7.55598","[ 75 , 104 ]","37,674,762","3,174,871","[ 31,452,015 , 43,897,510 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 10.12115","1.46682","[ 7.2 , 13 ]"," 4,258,788","  618,445","[ 3,046,636 , 5,470,940 ]"
"Benefits Received ($), total"," 99.65647","7.51868","[ 85 , 114 ]","41,933,550","3,161,626","[ 35,736,763 , 48,130,338 ]"
