"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave"," 0.01353","0.00103","[ 0.012 , 0.016 ]","     5,529","      421","[ 4,704 , 6,354 ]"
"Participated for illspouse leave"," 0.00081","0.00024","[ 0.00033 , 0.0013 ]","       330","       99","[ 137 , 523 ]"
"Participated for illchild leave"," 0.00144","0.00028","[ 0.0009 , 0.002 ]","       590","      114","[ 366 , 814 ]"
"Participated for illparent leave"," 0.00152","0.00034","[ 0.00085 , 0.0022 ]","       622","      139","[ 350 , 894 ]"
"Participated for matdis leave"," 0.00436","0.00057","[ 0.0032 , 0.0055 ]","     1,783","      232","[ 1,328 , 2,238 ]"
"Participated for bond leave"," 0.00061","0.00032","[ -0.000015 , 0.0012 ]","       248","      130","[ -5.9 , 502 ]"
"Participated for  for own illness or maternal disability leave"," 0.01723","0.00113","[ 0.015 , 0.019 ]","     7,039","      461","[ 6,135 , 7,943 ]"
"Participated for ill relative or child bonding leave"," 0.00438","0.00059","[ 0.0032 , 0.0055 ]","     1,790","      240","[ 1,319 , 2,261 ]"
"Participated for any reason"," 0.02124","0.00116","[ 0.019 , 0.024 ]","     8,679","      463","[ 7,771 , 9,587 ]"
"Benefits Received ($), for own illness or maternal disability leave","60.78253","5.61468","[ 50 , 72 ]","24,834,526","2,279,703","[ 20,366,307 , 29,302,744 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 4.33893","0.82005","[ 2.7 , 5.9 ]"," 1,772,800","  332,548","[ 1,121,006 , 2,424,595 ]"
"Benefits Received ($), total","65.12146","5.51986","[ 54 , 76 ]","26,607,326","2,234,531","[ 22,227,644 , 30,987,008 ]"
