"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0127871872748333,0.00121321597169369,"[ 0.01 , 0.015 ]",4206,404.989197386795,"[ 3,412 , 5,000 ]"
"Participated for illspouse leave",0.000854303286787485,0.000265931020181021,"[ 0.00033 , 0.0014 ]",281,87.1008036702303,"[ 110 , 452 ]"
"Participated for illchild leave",0.00147754945686376,0.000365138373525393,"[ 0.00076 , 0.0022 ]",486,120.359669324903,"[ 250 , 722 ]"
"Participated for illparent leave",0.00336552931841191,0.000643707400011656,"[ 0.0021 , 0.0046 ]",1107,211.776651215378,"[ 692 , 1,522 ]"
"Participated for matdis leave",0.00574906589080119,0.000672440478295112,"[ 0.0044 , 0.0071 ]",1891,221.44028540444,"[ 1,457 , 2,325 ]"
"Participated for bond leave",0.00224064598705472,0.000512091016343682,"[ 0.0012 , 0.0032 ]",737,168.273883891708,"[ 407 , 1,067 ]"
"Participated for  for own illness or maternal disability leave",0.0182626328958449,0.00134892124899749,"[ 0.016 , 0.021 ]",6007,450.984090628483,"[ 5,123 , 6,891 ]"
"Participated for ill relative or child bonding leave",0.00755495967141246,0.000920610698783892,"[ 0.0058 , 0.0094 ]",2485,302.969965508134,"[ 1,891 , 3,079 ]"
"Participated for any reason",0.0237928025708144,0.00164892615532222,"[ 0.021 , 0.027 ]",7826,550.67358752713,"[ 6,747 , 8,905 ]"
"Benefits Received ($), for own illness or maternal disability leave",66.3997527927764,6.42343602046578,"[ 54 , 79 ]",21840405.8878584,2128478.32995066,"[ 17,668,588 , 26,012,223 ]"
"Benefits Received ($), for for ill relative or child bonding leave",7.66956435962865,1.10289024786339,"[ 5.5 , 9.8 ]",2522696.11786214,364415.719458933,"[ 1,808,441 , 3,236,951 ]"
"Benefits Received ($), total",74.069317152405,6.64550192834118,"[ 61 , 87 ]",24363102.0057205,2206053.92823849,"[ 20,039,236 , 28,686,968 ]"
