"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.00392247764874077,0.000766516705293726,"[ 0.0024 , 0.0054 ]",3029,351.559881101357,"[ 2,340 , 3,718 ]"
"Participated for illspouse leave",9.58281102696655e-05,9.87531824889793e-05,"[ -0.000098 , 0.00029 ]",74,66.5285652934136,"[ -56 , 204 ]"
"Participated for illchild leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for illparent leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for matdis leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for bond leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for  for own illness or maternal disability leave",0.00392247764874077,0.000766516705293726,"[ 0.0024 , 0.0054 ]",3029,351.559881101357,"[ 2,340 , 3,718 ]"
"Participated for ill relative or child bonding leave",9.58281102696655e-05,9.87531824889793e-05,"[ -0.000098 , 0.00029 ]",74,66.5285652934136,"[ -56 , 204 ]"
"Participated for any reason",0.00392247764874077,0.000766516705293726,"[ 0.0024 , 0.0054 ]",3029,351.559881101357,"[ 2,340 , 3,718 ]"
"Benefits Received ($), for own illness or maternal disability leave",10.6577178954995,2.22973804494848,"[ 6.3 , 15 ]",8230060.28239101,1147275.46966426,"[ 5,981,400 , 10,478,720 ]"
"Benefits Received ($), for for ill relative or child bonding leave",0.0495638526008267,0.0454973818923434,"[ -0.04 , 0.14 ]",38274,30491.9628257685,"[ -21,490 , 98,038 ]"
"Benefits Received ($), total",10.7072817481003,2.25417758154085,"[ 6.3 , 15 ]",8268334.28239101,1150559.51773908,"[ 6,013,238 , 10,523,431 ]"
