"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave"," 0.003922","0.000767","[ 0.0024 , 0.0054 ]","    3,029","      352","[ 2,340 , 3,718 ]"
"Participated for illspouse leave"," 0.000096","0.000099","[ -0.000098 , 0.00029 ]","       74","       67","[ -56 , 204 ]"
"Participated for illchild leave"," 0.000000","0.000000","[ 0 , 0 ]","        0","        0","[ 0 , 0 ]"
"Participated for illparent leave"," 0.000000","0.000000","[ 0 , 0 ]","        0","        0","[ 0 , 0 ]"
"Participated for matdis leave"," 0.000000","0.000000","[ 0 , 0 ]","        0","        0","[ 0 , 0 ]"
"Participated for bond leave"," 0.000000","0.000000","[ 0 , 0 ]","        0","        0","[ 0 , 0 ]"
"Participated for  for own illness or maternal disability leave"," 0.003922","0.000767","[ 0.0024 , 0.0054 ]","    3,029","      352","[ 2,340 , 3,718 ]"
"Participated for ill relative or child bonding leave"," 0.000096","0.000099","[ -0.000098 , 0.00029 ]","       74","       67","[ -56 , 204 ]"
"Participated for any reason"," 0.003922","0.000767","[ 0.0024 , 0.0054 ]","    3,029","      352","[ 2,340 , 3,718 ]"
"Benefits Received ($), for own illness or maternal disability leave","10.657718","2.229738","[ 6.3 , 15 ]","8,230,060","1,147,275","[ 5,981,400 , 10,478,720 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 0.049564","0.045497","[ -0.04 , 0.14 ]","   38,274","   30,492","[ -21,490 , 98,038 ]"
"Benefits Received ($), total","10.707282","2.254178","[ 6.3 , 15 ]","8,268,334","1,150,560","[ 6,013,238 , 10,523,431 ]"
