"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave"," 0.01279","0.00121","[ 0.01 , 0.015 ]","     4,206","      405","[ 3,412 , 5,000 ]"
"Participated for illspouse leave"," 0.00085","0.00027","[ 0.00033 , 0.0014 ]","       281","       87","[ 110 , 452 ]"
"Participated for illchild leave"," 0.00148","0.00037","[ 0.00076 , 0.0022 ]","       486","      120","[ 250 , 722 ]"
"Participated for illparent leave"," 0.00337","0.00064","[ 0.0021 , 0.0046 ]","     1,107","      212","[ 692 , 1,522 ]"
"Participated for matdis leave"," 0.00575","0.00067","[ 0.0044 , 0.0071 ]","     1,891","      221","[ 1,457 , 2,325 ]"
"Participated for bond leave"," 0.00224","0.00051","[ 0.0012 , 0.0032 ]","       737","      168","[ 407 , 1,067 ]"
"Participated for  for own illness or maternal disability leave"," 0.01826","0.00135","[ 0.016 , 0.021 ]","     6,007","      451","[ 5,123 , 6,891 ]"
"Participated for ill relative or child bonding leave"," 0.00755","0.00092","[ 0.0058 , 0.0094 ]","     2,485","      303","[ 1,891 , 3,079 ]"
"Participated for any reason"," 0.02379","0.00165","[ 0.021 , 0.027 ]","     7,826","      551","[ 6,747 , 8,905 ]"
"Benefits Received ($), for own illness or maternal disability leave","66.39975","6.42344","[ 54 , 79 ]","21,840,406","2,128,478","[ 17,668,588 , 26,012,223 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 7.66956","1.10289","[ 5.5 , 9.8 ]"," 2,522,696","  364,416","[ 1,808,441 , 3,236,951 ]"
"Benefits Received ($), total","74.06932","6.64550","[ 61 , 87 ]","24,363,102","2,206,054","[ 20,039,236 , 28,686,968 ]"
