"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0161570822038921,0.00103126680413835,"[ 0.014 , 0.018 ]",8315,537.688618068116,"[ 7,261 , 9,369 ]"
"Participated for illspouse leave",0.000347819328261778,0.000147880781542209,"[ 0.000058 , 0.00064 ]",179,76.2613925915335,"[ 30 , 328 ]"
"Participated for illchild leave",0.000738387400779193,0.000213201887670032,"[ 0.00032 , 0.0012 ]",380,109.598585757299,"[ 165 , 595 ]"
"Participated for illparent leave",0.000715069903912482,0.000196359843346666,"[ 0.00033 , 0.0011 ]",368,101.526843740954,"[ 169 , 567 ]"
"Participated for matdis leave",0.00419909256074694,0.000469440027952578,"[ 0.0033 , 0.0051 ]",2161,241.718120959104,"[ 1,687 , 2,635 ]"
"Participated for bond leave",0.00138933418830822,0.000311741449039798,"[ 0.00078 , 0.002 ]",715,161.307625362225,"[ 399 , 1,031 ]"
"Participated for  for own illness or maternal disability leave",0.0201774072886609,0.00114915768905184,"[ 0.018 , 0.022 ]",10384,598.931256489424,"[ 9,210 , 11,558 ]"
"Participated for ill relative or child bonding leave",0.00312843082961711,0.000486180007474226,"[ 0.0022 , 0.0041 ]",1610,252.227476695145,"[ 1,116 , 2,104 ]"
"Participated for any reason",0.0226471188317934,0.00118969721026405,"[ 0.02 , 0.025 ]",11655,623.891456905767,"[ 10,432 , 12,878 ]"
"Benefits Received ($), for own illness or maternal disability leave",75.8587120586881,6.35304087169992,"[ 63 , 88 ]",39039548.2803229,3268102.35484979,"[ 32,634,068 , 45,445,029 ]"
"Benefits Received ($), for for ill relative or child bonding leave",3.53435979279203,0.613960978160574,"[ 2.3 , 4.7 ]",1818905.25196353,319267.862319459,"[ 1,193,140 , 2,444,670 ]"
"Benefits Received ($), total",79.3930718514801,6.39981255715301,"[ 67 , 92 ]",40858453.5322865,3299189.29178857,"[ 34,392,043 , 47,324,865 ]"
