"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave"," 0.01616","0.00103","[ 0.014 , 0.018 ]","     8,315","      538","[ 7,261 , 9,369 ]"
"Participated for illspouse leave"," 0.00035","0.00015","[ 0.000058 , 0.00064 ]","       179","       76","[ 30 , 328 ]"
"Participated for illchild leave"," 0.00074","0.00021","[ 0.00032 , 0.0012 ]","       380","      110","[ 165 , 595 ]"
"Participated for illparent leave"," 0.00072","0.00020","[ 0.00033 , 0.0011 ]","       368","      102","[ 169 , 567 ]"
"Participated for matdis leave"," 0.00420","0.00047","[ 0.0033 , 0.0051 ]","     2,161","      242","[ 1,687 , 2,635 ]"
"Participated for bond leave"," 0.00139","0.00031","[ 0.00078 , 0.002 ]","       715","      161","[ 399 , 1,031 ]"
"Participated for  for own illness or maternal disability leave"," 0.02018","0.00115","[ 0.018 , 0.022 ]","    10,384","      599","[ 9,210 , 11,558 ]"
"Participated for ill relative or child bonding leave"," 0.00313","0.00049","[ 0.0022 , 0.0041 ]","     1,610","      252","[ 1,116 , 2,104 ]"
"Participated for any reason"," 0.02265","0.00119","[ 0.02 , 0.025 ]","    11,655","      624","[ 10,432 , 12,878 ]"
"Benefits Received ($), for own illness or maternal disability leave","75.85871","6.35304","[ 63 , 88 ]","39,039,548","3,268,102","[ 32,634,068 , 45,445,029 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 3.53436","0.61396","[ 2.3 , 4.7 ]"," 1,818,905","  319,268","[ 1,193,140 , 2,444,670 ]"
"Benefits Received ($), total","79.39307","6.39981","[ 67 , 92 ]","40,858,454","3,299,189","[ 34,392,043 , 47,324,865 ]"
