"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0140804738362132,0.00117950479948135,"[ 0.012 , 0.016 ]",5753,476.397575560582,"[ 4,819 , 6,687 ]"
"Participated for illspouse leave",0.000648587791864506,0.000249437429445142,"[ 0.00016 , 0.0011 ]",265,102.568757426421,"[ 64 , 466 ]"
"Participated for illchild leave",0.00139997062998678,0.000282122248533146,"[ 0.00085 , 0.002 ]",572,115.09865333704,"[ 346 , 798 ]"
"Participated for illparent leave",0.00253071613882226,0.000486295989017562,"[ 0.0016 , 0.0035 ]",1034,199.415897059387,"[ 643 , 1,425 ]"
"Participated for matdis leave",0.0038254442214499,0.000607536945853494,"[ 0.0026 , 0.005 ]",1563,249.277154990184,"[ 1,074 , 2,052 ]"
"Participated for bond leave",0.00202163590973616,0.000443090086283508,"[ 0.0012 , 0.0029 ]",826,180.024026174286,"[ 473 , 1,179 ]"
"Participated for  for own illness or maternal disability leave",0.0173111752900289,0.00128331437062897,"[ 0.015 , 0.02 ]",7073,520.237926337556,"[ 6,053 , 8,093 ]"
"Participated for ill relative or child bonding leave",0.00621665279749376,0.000735919142506362,"[ 0.0048 , 0.0077 ]",2540,300.936039716083,"[ 1,950 , 3,130 ]"
"Participated for any reason",0.0222257575015909,0.00159720933042669,"[ 0.019 , 0.025 ]",9081,648.888626807405,"[ 7,809 , 10,353 ]"
"Benefits Received ($), for own illness or maternal disability leave",85.5742133432048,8.86053033671494,"[ 68 , 103 ]",34963912.0877666,3612867.61919321,"[ 27,882,692 , 42,045,133 ]"
"Benefits Received ($), for for ill relative or child bonding leave",7.25035158786137,0.927424594090337,"[ 5.4 , 9.1 ]",2962348.6517684,379748.513290545,"[ 2,218,042 , 3,706,656 ]"
"Benefits Received ($), total",92.8245649310662,9.13584840496928,"[ 75 , 111 ]",37926260.739535,3726304.65092712,"[ 30,622,704 , 45,229,818 ]"
