"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0136038162969872,0.000719656380906248,"[ 0.012 , 0.015 ]",7001,367.398421335748,"[ 6,281 , 7,721 ]"
"Participated for illspouse leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for illchild leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for illparent leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for matdis leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for bond leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for  for own illness or maternal disability leave",0.0136038162969872,0.000719656380906248,"[ 0.012 , 0.015 ]",7001,367.398421335748,"[ 6,281 , 7,721 ]"
"Participated for ill relative or child bonding leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for any reason",0.0136038162969872,0.000719656380906248,"[ 0.012 , 0.015 ]",7001,367.398421335748,"[ 6,281 , 7,721 ]"
"Benefits Received ($), for own illness or maternal disability leave",38.1786479731743,3.12273307282246,"[ 32 , 44 ]",19648068.4996745,1594073.77250149,"[ 16,523,684 , 22,772,453 ]"
"Benefits Received ($), for for ill relative or child bonding leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Benefits Received ($), total",38.1786479731743,3.12273307282246,"[ 32 , 44 ]",19648068.4996745,1594073.77250149,"[ 16,523,684 , 22,772,453 ]"
