"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave"," 0.014","0.00072","[ 0.012 , 0.015 ]","     7,001","      367","[ 6,281 , 7,721 ]"
"Participated for illspouse leave"," 0.000","0.00000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for illchild leave"," 0.000","0.00000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for illparent leave"," 0.000","0.00000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for matdis leave"," 0.000","0.00000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for bond leave"," 0.000","0.00000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for  for own illness or maternal disability leave"," 0.014","0.00072","[ 0.012 , 0.015 ]","     7,001","      367","[ 6,281 , 7,721 ]"
"Participated for ill relative or child bonding leave"," 0.000","0.00000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for any reason"," 0.014","0.00072","[ 0.012 , 0.015 ]","     7,001","      367","[ 6,281 , 7,721 ]"
"Benefits Received ($), for own illness or maternal disability leave","38.179","3.12273","[ 32 , 44 ]","19,648,068","1,594,074","[ 16,523,684 , 22,772,453 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 0.000","0.00000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Benefits Received ($), total","38.179","3.12273","[ 32 , 44 ]","19,648,068","1,594,074","[ 16,523,684 , 22,772,453 ]"
