"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave"," 0.01408","0.00118","[ 0.012 , 0.016 ]","     5,753","      476","[ 4,819 , 6,687 ]"
"Participated for illspouse leave"," 0.00065","0.00025","[ 0.00016 , 0.0011 ]","       265","      103","[ 64 , 466 ]"
"Participated for illchild leave"," 0.00140","0.00028","[ 0.00085 , 0.002 ]","       572","      115","[ 346 , 798 ]"
"Participated for illparent leave"," 0.00253","0.00049","[ 0.0016 , 0.0035 ]","     1,034","      199","[ 643 , 1,425 ]"
"Participated for matdis leave"," 0.00383","0.00061","[ 0.0026 , 0.005 ]","     1,563","      249","[ 1,074 , 2,052 ]"
"Participated for bond leave"," 0.00202","0.00044","[ 0.0012 , 0.0029 ]","       826","      180","[ 473 , 1,179 ]"
"Participated for  for own illness or maternal disability leave"," 0.01731","0.00128","[ 0.015 , 0.02 ]","     7,073","      520","[ 6,053 , 8,093 ]"
"Participated for ill relative or child bonding leave"," 0.00622","0.00074","[ 0.0048 , 0.0077 ]","     2,540","      301","[ 1,950 , 3,130 ]"
"Participated for any reason"," 0.02223","0.00160","[ 0.019 , 0.025 ]","     9,081","      649","[ 7,809 , 10,353 ]"
"Benefits Received ($), for own illness or maternal disability leave","85.57421","8.86053","[ 68 , 103 ]","34,963,912","3,612,868","[ 27,882,692 , 42,045,133 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 7.25035","0.92742","[ 5.4 , 9.1 ]"," 2,962,349","  379,749","[ 2,218,042 , 3,706,656 ]"
"Benefits Received ($), total","92.82456","9.13585","[ 75 , 111 ]","37,926,261","3,726,305","[ 30,622,704 , 45,229,818 ]"
