"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0109539314672431,0.0010178542115567,"[ 0.009 , 0.013 ]",3603,340.316029596021,"[ 2,936 , 4,270 ]"
"Participated for illspouse leave",0.00113096378179696,0.000242118551421603,"[ 0.00066 , 0.0016 ]",372,79.5147785006033,"[ 216 , 528 ]"
"Participated for illchild leave",0.00141978517768596,0.000417267203142761,"[ 0.0006 , 0.0022 ]",467,137.611591081566,"[ 197 , 737 ]"
"Participated for illparent leave",0.00135290022284851,0.000322047786670954,"[ 0.00072 , 0.002 ]",445,105.997641483195,"[ 237 , 653 ]"
"Participated for matdis leave",0.00317703535477908,0.000475783190188417,"[ 0.0022 , 0.0041 ]",1045,155.645591007262,"[ 740 , 1,350 ]"
"Participated for bond leave",0.00257203053602211,0.000531505460899986,"[ 0.0015 , 0.0036 ]",846,173.31027090164,"[ 506 , 1,186 ]"
"Participated for  for own illness or maternal disability leave",0.0136840537146992,0.00107654474098125,"[ 0.012 , 0.016 ]",4501,359.635927015086,"[ 3,796 , 5,206 ]"
"Participated for ill relative or child bonding leave",0.00647567971835354,0.000830395672425869,"[ 0.0048 , 0.0081 ]",2130,272.099062842929,"[ 1,597 , 2,663 ]"
"Participated for any reason",0.0198283488840853,0.00137856802178128,"[ 0.017 , 0.023 ]",6522,458.722029120033,"[ 5,623 , 7,421 ]"
"Benefits Received ($), for own illness or maternal disability leave",49.1982304115199,5.24963384382137,"[ 39 , 59 ]",16182429.5416484,1744467.26530973,"[ 12,763,274 , 19,601,585 ]"
"Benefits Received ($), for for ill relative or child bonding leave",7.28280195941901,1.03312729076302,"[ 5.3 , 9.3 ]",2395481.06889798,335500.407744431,"[ 1,737,900 , 3,053,062 ]"
"Benefits Received ($), total",56.4810323709389,5.34336671526769,"[ 46 , 67 ]",18577910.6105463,1771508.44343337,"[ 15,105,754 , 22,050,067 ]"
