"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.005125508924964,0.000919930092382377,"[ 0.0033 , 0.0069 ]",3958,351.373376908382,"[ 3,269 , 4,647 ]"
"Participated for illspouse leave",5.56839019134543e-05,3.48093103555659e-05,"[ -0.000013 , 0.00012 ]",43,25.854400012377,"[ -7.7 , 94 ]"
"Participated for illchild leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for illparent leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for matdis leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for bond leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for  for own illness or maternal disability leave",0.005125508924964,0.000919930092382377,"[ 0.0033 , 0.0069 ]",3958,351.373376908382,"[ 3,269 , 4,647 ]"
"Participated for ill relative or child bonding leave",5.56839019134543e-05,3.48093103555659e-05,"[ -0.000013 , 0.00012 ]",43,25.854400012377,"[ -7.7 , 94 ]"
"Participated for any reason",0.00516565313332021,0.000924750627763794,"[ 0.0034 , 0.007 ]",3989,349.917347383636,"[ 3,303 , 4,675 ]"
"Benefits Received ($), for own illness or maternal disability leave",19.058646019905,3.75365947300292,"[ 12 , 26 ]",14717391.3949069,1765562.20352485,"[ 11,256,889 , 18,177,893 ]"
"Benefits Received ($), for for ill relative or child bonding leave",0.0572670580013085,0.0358935487116962,"[ -0.013 , 0.13 ]",44222.5384615385,26638.487873296,"[ -7,989 , 96,434 ]"
"Benefits Received ($), total",19.1159130779063,3.75682440462711,"[ 12 , 26 ]",14761613.9333685,1760176.19115379,"[ 11,311,669 , 18,211,559 ]"
