"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave"," 0.005126","0.000920","[ 0.0033 , 0.0069 ]","     3,958","      351","[ 3,269 , 4,647 ]"
"Participated for illspouse leave"," 0.000056","0.000035","[ -0.000013 , 0.00012 ]","        43","       26","[ -7.7 , 94 ]"
"Participated for illchild leave"," 0.000000","0.000000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for illparent leave"," 0.000000","0.000000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for matdis leave"," 0.000000","0.000000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for bond leave"," 0.000000","0.000000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for  for own illness or maternal disability leave"," 0.005126","0.000920","[ 0.0033 , 0.0069 ]","     3,958","      351","[ 3,269 , 4,647 ]"
"Participated for ill relative or child bonding leave"," 0.000056","0.000035","[ -0.000013 , 0.00012 ]","        43","       26","[ -7.7 , 94 ]"
"Participated for any reason"," 0.005166","0.000925","[ 0.0034 , 0.007 ]","     3,989","      350","[ 3,303 , 4,675 ]"
"Benefits Received ($), for own illness or maternal disability leave","19.058646","3.753659","[ 12 , 26 ]","14,717,391","1,765,562","[ 11,256,889 , 18,177,893 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 0.057267","0.035894","[ -0.013 , 0.13 ]","    44,223","   26,638","[ -7,989 , 96,434 ]"
"Benefits Received ($), total","19.115913","3.756824","[ 12 , 26 ]","14,761,614","1,760,176","[ 11,311,669 , 18,211,559 ]"
