"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave"," 0.0110","0.00102","[ 0.009 , 0.013 ]","     3,603","      340","[ 2,936 , 4,270 ]"
"Participated for illspouse leave"," 0.0011","0.00024","[ 0.00066 , 0.0016 ]","       372","       80","[ 216 , 528 ]"
"Participated for illchild leave"," 0.0014","0.00042","[ 0.0006 , 0.0022 ]","       467","      138","[ 197 , 737 ]"
"Participated for illparent leave"," 0.0014","0.00032","[ 0.00072 , 0.002 ]","       445","      106","[ 237 , 653 ]"
"Participated for matdis leave"," 0.0032","0.00048","[ 0.0022 , 0.0041 ]","     1,045","      156","[ 740 , 1,350 ]"
"Participated for bond leave"," 0.0026","0.00053","[ 0.0015 , 0.0036 ]","       846","      173","[ 506 , 1,186 ]"
"Participated for  for own illness or maternal disability leave"," 0.0137","0.00108","[ 0.012 , 0.016 ]","     4,501","      360","[ 3,796 , 5,206 ]"
"Participated for ill relative or child bonding leave"," 0.0065","0.00083","[ 0.0048 , 0.0081 ]","     2,130","      272","[ 1,597 , 2,663 ]"
"Participated for any reason"," 0.0198","0.00138","[ 0.017 , 0.023 ]","     6,522","      459","[ 5,623 , 7,421 ]"
"Benefits Received ($), for own illness or maternal disability leave","49.1982","5.24963","[ 39 , 59 ]","16,182,430","1,744,467","[ 12,763,274 , 19,601,585 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 7.2828","1.03313","[ 5.3 , 9.3 ]"," 2,395,481","  335,500","[ 1,737,900 , 3,053,062 ]"
"Benefits Received ($), total","56.4810","5.34337","[ 46 , 67 ]","18,577,911","1,771,508","[ 15,105,754 , 22,050,067 ]"
