"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0247826129198364,0.00114888119084487,"[ 0.023 , 0.027 ]",12754,599.659445018587,"[ 11,579 , 13,929 ]"
"Participated for illspouse leave",0.00140487918621936,0.000348851660219588,"[ 0.00072 , 0.0021 ]",723,179.111138682104,"[ 372 , 1,074 ]"
"Participated for illchild leave",0.000990993616835233,0.000220599919496268,"[ 0.00056 , 0.0014 ]",510,113.844191771034,"[ 287 , 733 ]"
"Participated for illparent leave",0.00154284104268073,0.000328057564764381,"[ 0.0009 , 0.0022 ]",794,168.786107248197,"[ 463 , 1,125 ]"
"Participated for matdis leave",0.0110388916416489,0.000731373279833081,"[ 0.0096 , 0.012 ]",5681,379.112648166742,"[ 4,938 , 6,424 ]"
"Participated for bond leave",0.00386293198091852,0.000456929730996686,"[ 0.003 , 0.0048 ]",1988,236.216108680166,"[ 1,525 , 2,451 ]"
"Participated for  for own illness or maternal disability leave",0.0347430703313999,0.00139044779802831,"[ 0.032 , 0.037 ]",17880,729.410960981531,"[ 16,450 , 19,310 ]"
"Participated for ill relative or child bonding leave",0.00773752271027039,0.000681361532756264,"[ 0.0064 , 0.0091 ]",3982,351.451845919181,"[ 3,293 , 4,671 ]"
"Participated for any reason",0.0415556656659574,0.00163537924052498,"[ 0.038 , 0.045 ]",21386,857.205342960483,"[ 19,706 , 23,066 ]"
"Benefits Received ($), for own illness or maternal disability leave",154.801644437181,8.15709828979091,"[ 139 , 171 ]",79666344.2849286,4232317.48077547,"[ 71,371,002 , 87,961,687 ]"
"Benefits Received ($), for for ill relative or child bonding leave",11.1133816547864,1.23556861918808,"[ 8.7 , 14 ]",5719335.16791098,638191.28824551,"[ 4,468,480 , 6,970,190 ]"
"Benefits Received ($), total",165.915026091967,8.58092222256969,"[ 149 , 183 ]",85385679.4528395,4456772.32018572,"[ 76,650,406 , 94,120,953 ]"
